id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
henriette,Henriette,False,FEMALE,7,20,456,11,18,0.7619047619047619,0.09333333333333334,0.31393792774742785
licaste,Licaste,False,MALE,4,20,353,4,7,0.5517241379310345,0.0,0.1409171608798783
frontin,Frontin,False,MALE,5,36,1008,8,13,0.6666666666666666,0.0125,0.256402722807465
lisette,Lisette,False,FEMALE,12,35,505,14,36,0.8888888888888888,0.28583333333333333,0.355602393490074
madame-mananville,Madame Mananville,False,FEMALE,13,43,624,9,29,0.6956521739130435,0.056388888888888884,0.2669766105901371
ragotin,Ragotin,False,MALE,5,10,168,5,7,0.5925925925925926,0.0,0.18267154418152307
listte,Listte,False,UNKNOWN,1,1,18,2,2,0.48484848484848486,0.0,0.06431965629605725
colas,Colas,False,MALE,12,36,584,12,33,0.8,0.0872222222222222,0.3402384360594932
monsieur-mananville,Monsieur Mananville,False,MALE,13,55,938,12,35,0.8,0.0872222222222222,0.3402384360594932
jasmin,Jasmin,False,MALE,1,2,5,2,2,0.47058823529411764,0.0,0.07534321211203253
fontaubin,Fontaubin,False,MALE,10,26,434,12,25,0.8,0.052500000000000005,0.34677518953177405
le-baron,Le Baron,False,UNKNOWN,2,2,9,6,10,0.6153846153846154,0.0,0.21106086844579722
premier-musicien,Premier Musicien,False,UNKNOWN,1,1,33,7,7,0.64,0.0,0.24130630491402516
second-musicien,Second Musicien,False,UNKNOWN,1,1,29,7,7,0.64,0.0,0.24130630491402516
troisieme-musicien,Troisieme Musicien,False,UNKNOWN,1,1,58,7,7,0.64,0.0,0.24130630491402516
crispin,Crispin,False,UNKNOWN,1,2,139,2,2,0.5,0.0,0.04427518456708727
le-choeur,Le Choeur,False,UNKNOWN,1,5,127,2,2,0.5,0.0,0.04427518456708727
