id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
nathalie,Nathalie,False,FEMALE,12,21,807,9,31,0.9,0.05333333333333334,0.3742469808960979
leon,Léon,False,MALE,8,19,521,9,26,0.9,0.05333333333333334,0.3742469808960979
cephane,Céphane,False,FEMALE,7,15,398,7,23,0.7363636363636364,0.008888888888888889,0.31720100217433245
monsieur-dermont,Monsieur Dermont,False,MALE,5,12,293,9,19,0.9,0.05333333333333334,0.3742469808960979
madame-dermont,Madame Dermont,False,FEMALE,5,22,529,9,19,0.9,0.05333333333333334,0.3742469808960979
virginie,Virginie,False,FEMALE,2,11,362,5,8,0.6230769230769231,0.0,0.24806799710666058
lagrange,Lagrange,False,MALE,3,8,820,5,6,0.6230769230769231,0.0,0.23711803265242795
madame-d-ermont,Madame D Ermont,False,UNKNOWN,1,1,8,5,5,0.6230769230769231,0.0,0.23711803265242795
saint-fons,Saint-Fons,False,MALE,2,2,91,6,9,0.675,0.0,0.2873609745370761
tous-ensemble,Tous Ensemble,False,UNKNOWN,1,1,17,6,6,0.675,0.0,0.2873609745370761
monsieur-de-riviere,Monsieur de Riviere,False,UNKNOWN,1,1,46,0,0,0.0,0.0,1.6948205580439393e-09
