id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
dorize,Dorize,False,FEMALE,1,5,81,1,1,0.39285714285714285,0.0,0.046064672407958474
roxalie,Roxalie,False,UNKNOWN,6,35,2153,5,13,0.6111111111111112,0.18181818181818182,0.26704299391695413
themir,Thémir,False,MALE,9,61,1177,8,19,0.7857142857142857,0.2545454545454545,0.41745178258627513
indarthize,Indarthize,False,FEMALE,7,38,895,4,14,0.5789473684210527,0.0,0.2602658523086698
tamerlan,Tamerlan,False,MALE,15,101,2872,8,26,0.7857142857142857,0.2545454545454545,0.41745178258627513
bajazet,Bajazet,False,MALE,13,84,3433,6,21,0.6470588235294118,0.18181818181818182,0.3378536501563563
selim,Selim,False,MALE,6,24,748,5,14,0.6111111111111112,0.0,0.32927976318129737
zilim,Zilim,False,MALE,6,20,342,5,14,0.6111111111111112,0.0,0.32927976318129737
orcazie,Orcazie,False,FEMALE,12,53,1365,7,23,0.7333333333333333,0.07272727272727271,0.4068577311565043
mansor,Mansor,False,MALE,1,3,475,1,1,0.4583333333333333,0.0,0.07200954647288627
le-soldat,Le Soldat,False,UNKNOWN,1,3,30,1,1,0.4583333333333333,0.0,0.07200954647288627
un-garde,Un Garde,False,UNKNOWN,1,1,13,1,1,0.4074074074074074,0.0,0.058278753720588
