id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
hermiane,Hermiane,False,FEMALE,3,13,294,5,7,0.6923076923076923,0.0,0.30917210844000914
le-prince,Le Prince,False,MALE,3,12,738,5,7,0.6923076923076923,0.0,0.30917210844000914
carise,Carise,False,FEMALE,11,67,929,9,27,1.0,0.24074074074074076,0.44517795788369074
egle,Eglé,False,FEMALE,15,154,2988,9,31,1.0,0.24074074074074076,0.44517795788369074
azor,Azor,False,MALE,6,71,930,4,12,0.6428571428571429,0.0,0.2368500591357326
mesrou,Mesrou,False,MALE,5,16,205,4,15,0.6428571428571429,0.0,0.2368500591357326
adine,Adine,False,FEMALE,5,47,871,3,8,0.6,0.0,0.1965678698426405
mesrin,Mesrin,False,MALE,7,50,551,5,17,0.6923076923076923,0.018518518518518517,0.26542187664240774
meslis,Meslis,False,MALE,1,4,68,5,5,0.6923076923076923,0.0,0.30917210844000914
dina,Dina,False,FEMALE,1,4,26,5,5,0.6923076923076923,0.0,0.30917210844000914
