id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-marquis,Le Marquis,False,MALE,3,20,438,4,8,0.3776223776223776,0.0,0.03800209825845204
le-chevalier,Le Chevalier,False,MALE,3,15,790,4,8,0.3776223776223776,0.0,0.03800209825845204
la-comtesse,La Comtesse,False,FEMALE,11,58,832,17,52,0.6558704453441295,0.18002808302808307,0.3121660006522238
le-conseiller,Le Conseiller,False,MALE,2,2,69,4,7,0.3776223776223776,0.0,0.03800209825845204
l-acteur,L Acteur,False,UNKNOWN,1,5,123,4,4,0.3776223776223776,0.0,0.03800209825845204
l-insulaire,L Insulaire,False,UNKNOWN,4,15,166,9,13,0.4615384615384615,0.0003418803418803419,0.2266781948593796
blaise,Blaise,False,UNKNOWN,23,233,5735,14,78,0.5664335664335665,0.017002442002442004,0.3097940152543737
le-poete,Le Poète,False,MALE,5,38,688,9,23,0.4615384615384615,0.0008241758241758242,0.22226453836195825
tous,Tous,False,UNKNOWN,1,3,3,8,8,0.4450549450549451,0.0,0.2011854822082032
fontignac,Fontignac,False,MALE,16,108,2375,14,60,0.5664335664335665,0.017002442002442004,0.3097940152543737
le-courtisan,Le Courtisan,False,MALE,11,58,745,13,44,0.5418060200668896,0.00772039072039072,0.29972102745413143
le-philosophe,Le Philosophe,False,MALE,6,20,243,13,35,0.5418060200668896,0.00772039072039072,0.29972102745413143
spinette,Spinette,False,FEMALE,11,47,1276,13,43,0.5418060200668896,0.013891330891330893,0.2914636610813412
le-medecin,Le Médecin,False,MALE,3,20,200,9,19,0.4615384615384615,0.0056923076923076936,0.2112584700084455
le-gouverneur,Le Gouverneur,False,MALE,3,12,491,9,16,0.4615384615384615,0.0003418803418803419,0.2238950327666462
parmenes,Parmènes,False,MALE,6,26,492,10,22,0.4792899408284023,0.0006837606837606838,0.2477572510131346
floris,Floris,False,FEMALE,7,34,677,10,30,0.4792899408284023,0.0006837606837606838,0.2477572510131346
blectrue,Blectrue,False,MALE,13,92,1732,11,23,0.49846153846153846,0.009221001221001224,0.25746889141858975
megiste,Mégiste,False,MALE,3,3,50,5,5,0.356043956043956,0.0003846153846153846,0.12303591694509963
legrand,Legrand,False,UNKNOWN,1,2,99,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
mademoiselle-legrand,Mademoiselle Legrand,False,UNKNOWN,1,1,33,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
mademoiselle-labatte,Mademoiselle Labatte,False,UNKNOWN,1,1,32,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
dufresne,Dufresne,False,UNKNOWN,1,1,53,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
du-mirail,Du Mirail,False,UNKNOWN,1,1,55,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
mademoiselle-jouvenot,Mademoiselle Jouvenot,False,UNKNOWN,1,1,53,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
mademoiselle-quinault,Mademoiselle Quinault,False,UNKNOWN,1,2,109,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
quinault,Quinault,False,UNKNOWN,1,1,56,7,7,0.2692307692307692,0.0,4.2322792424542926e-06
