id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
minette,Mademoiselle Minette,False,FEMALE,4,22,558,3,6,0.3333333333333333,0,4.79037068778813e-06
la-bonne,La Bonne,False,FEMALE,3,15,241,3,6,0.3333333333333333,0,4.79037068778813e-06
monsieur-de-la-fayette,Monsieur de la Fayette,False,UNKNOWN,2,6,100,3,5,0.3333333333333333,0,4.79037068778813e-06
la-mere,La Mère,False,FEMALE,1,8,179,3,3,0.3333333333333333,0,4.79037068778813e-06
caroline,Caroline,False,UNKNOWN,7,27,419,5,20,0.5555555555555556,0,0.4082482904451263
josephine,Josephine,False,UNKNOWN,7,24,378,5,20,0.5555555555555556,0,0.4082482904451263
le-petit-dulac,Le Petit Dulac,False,UNKNOWN,2,2,18,5,9,0.5555555555555556,0,0.4082482904451263
dulac,Dulac,False,UNKNOWN,4,12,166,5,16,0.5555555555555556,0,0.4082482904451263
monsieur-dulac,Monsieur Dulac,False,UNKNOWN,3,13,284,5,13,0.5555555555555556,0,0.4082482904451263
fanchette,Fanchette,False,UNKNOWN,4,14,236,5,14,0.5555555555555556,0,0.4082482904451263
