id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
eole,Eole,False,UNKNOWN,1,1,23,5,5,0.13513513513513514,0.0,0
un-triton,Un Triton,False,UNKNOWN,1,2,36,5,5,0.13513513513513514,0.0,0
tous-les-tritons,Tous les Tritons,False,UNKNOWN,1,1,16,5,5,0.13513513513513514,0.0,0
un-amour,Un Amour,False,UNKNOWN,1,1,6,5,5,0.13513513513513514,0.0,0
un-autre-amour,Un Autre Amour,False,UNKNOWN,1,2,22,5,5,0.13513513513513514,0.0,0
choeur,Choeur,False,UNKNOWN,1,2,279,5,5,0.13513513513513514,0.0,0
clitidas,Clitidas,False,MALE,7,74,2357,7,18,0.2079002079002079,0.003003003003003004,0
sostrate,Sostrate,False,MALE,8,54,1839,8,20,0.22522522522522526,0.016516516516516512,0
aristione,Aristione,False,FEMALE,7,43,1851,7,18,0.2079002079002079,0.013513513513513514,0
timocles,Timoclès,False,MALE,5,18,459,6,17,0.19305019305019305,0.0,0
iphicrate,Iphicrate,False,MALE,5,26,597,6,17,0.19305019305019305,0.0,0
anaxarque,Anaxarque,False,MALE,3,11,728,7,12,0.2079002079002079,0.013513513513513514,0
cleonice,Cléonice,False,FEMALE,5,10,284,3,6,0.1422475106685633,0.0,0
eriphile,Eriphile,False,FEMALE,11,69,1802,7,19,0.2079002079002079,0.003003003003003004,0
chorebe,Chorèbe,False,FEMALE,1,1,15,1,1,0.1287001287001287,0.0,0
la-nymphe-de-tempe,La Nymphe de Tempe,False,UNKNOWN,1,1,47,0,0,0.0,0.0,0
tircis,Tircis,False,MALE,3,16,236,3,5,0.10810810810810811,0.0,0
lycaste,Licaste,False,MALE,2,5,143,3,5,0.10810810810810811,0.0,0
menandre,Ménandre,False,MALE,2,4,131,3,5,0.10810810810810811,0.0,0
caliste,Caliste,False,MALE,3,6,253,6,6,0.16216216216216217,0.013513513513513514,0
premier-satyre,Premier Satyre,False,UNKNOWN,1,2,49,3,3,0.10810810810810811,0.0,0
deuxieme-satyre,Deuxieme Satyre,False,UNKNOWN,1,2,49,3,3,0.10810810810810811,0.0,0
tous,Tous,False,UNKNOWN,1,1,25,3,3,0.10810810810810811,0.0,0
philinte,Philinte,False,UNKNOWN,1,4,80,5,5,0.13513513513513514,0.0,0
climene,Climene,False,UNKNOWN,1,4,71,5,5,0.13513513513513514,0.0,0
tous-deux,Tous Deux,False,UNKNOWN,1,1,15,5,5,0.13513513513513514,0.0,0
tous-les-acteurs,Tous les Acteurs,False,UNKNOWN,1,1,33,5,5,0.13513513513513514,0.0,0
bergers,Bergers,False,UNKNOWN,1,0,96,5,5,0.13513513513513514,0.0,0
bergeres,Bergeres,False,UNKNOWN,1,0,96,5,5,0.13513513513513514,0.0,0
venus,Venus,False,UNKNOWN,1,1,78,1,1,0.12285012285012285,0.0,0
cleon,Cléon,False,MALE,1,2,26,1,1,0.12285012285012285,0.0,0
la-pretresse,La Pretresse,False,UNKNOWN,1,1,37,6,6,0.16216216216216217,0.0,0
une-grecque-2,Une Grecque 2,False,UNKNOWN,1,1,18,6,6,0.16216216216216217,0.0,0
autre-grecque-1,Autre Grecque 1,False,UNKNOWN,1,1,12,6,6,0.16216216216216217,0.0,0
autre-grecque-2,Autre Grecque 2,False,UNKNOWN,1,1,11,6,6,0.16216216216216217,0.0,0
tous-ensemble,Tous Ensemble,False,UNKNOWN,1,1,18,6,6,0.16216216216216217,0.0,0
le-choeur,Le Choeur,False,UNKNOWN,1,1,29,6,6,0.16216216216216217,0.0,0
apollon,Apollon,False,UNKNOWN,1,1,175,6,6,0.16216216216216217,0.0,0
