id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
octave,Octave,False,MALE,7,74,1372,8,18,0.9,0.030555555555555558,0.3593908337410013
silvestre,Silvestre,False,MALE,13,53,1030,7,27,0.8181818181818182,0.037037037037037035,0.31278267019257505
scapin,Scapin,False,MALE,14,277,6080,8,26,0.9,0.030555555555555558,0.3593908337410013
hyacinthe,Hyacinthe,False,UNKNOWN,4,16,421,7,14,0.8181818181818182,0.011111111111111112,0.32946229435941987
argante,Argante,False,MALE,12,122,1307,9,25,1.0,0.09537037037037036,0.37756016636586986
geronte,Géronte,False,MALE,12,132,1551,9,23,1.0,0.09537037037037036,0.37756016636586986
leandre,Léandre,False,MALE,5,63,788,6,11,0.75,0.005555555555555556,0.28516233027622395
carle,Carle,False,MALE,2,7,139,5,5,0.6923076923076923,0.0,0.24489952796769388
zerbinette,Zerbinette,False,FEMALE,4,22,1336,6,10,0.75,0.0,0.29461333756770636
nerine,Nérine,False,FEMALE,1,6,95,3,3,0.6,0.0,0.1486752990107309
