id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
sganarelle,Sganarelle,False,MALE,16,226,3845,10,31,1.0,0.5,0.45567168720295237
martine,Martine,False,FEMALE,6,65,1145,6,10,0.7142857142857143,0.05925925925925925,0.33725135263351186
monsieur-robert,Monsieur Robert,False,MALE,1,16,85,2,2,0.5555555555555556,0.0,0.13934083792495675
lucas,Lucas,False,MALE,9,50,673,6,21,0.7142857142857143,0.018518518518518517,0.37431916335880916
valere,Valère,False,MALE,4,63,938,5,10,0.6666666666666666,0.005555555555555556,0.33335281580803106
geronte,Géronte,False,MALE,11,110,1082,7,24,0.7692307692307693,0.05555555555555556,0.4058043909439906
jacqueline,Jacqueline,False,FEMALE,5,18,493,5,14,0.6666666666666666,0.005555555555555556,0.3239119338818351
lucinde,Lucinde,False,FEMALE,2,16,180,4,7,0.625,0.0,0.2740874871760258
leandre,Léandre,False,MALE,3,16,437,3,5,0.5882352941176471,0.0,0.2106528258978997
thibaut,Thibaut,False,MALE,1,6,287,2,2,0.5555555555555556,0.0,0.09714763338429273
perrin,Perrin,False,UNKNOWN,1,6,53,2,2,0.5555555555555556,0.0,0.09714763338429273
