id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
premiere-voix,Premiere Voix,False,UNKNOWN,1,1,52,3,3,0.08823529411764706,0.0,0
deuxieme-voix,Deuxieme Voix,False,UNKNOWN,1,1,52,3,3,0.08823529411764706,0.0,0
troisieme-voix,Troisieme Voix,False,UNKNOWN,1,1,28,3,3,0.08823529411764706,0.0,0
trois-voix-ensemble,Trois Voix Ensemble,False,UNKNOWN,1,1,47,3,3,0.08823529411764706,0.0,0
julie,Julie,False,FEMALE,4,27,420,5,9,0.3179650238473768,0.0,0
eraste,Eraste,False,MALE,8,81,1558,9,17,0.35650623885918004,0.026678550207961973,0
nerine,Nérine,False,FEMALE,3,21,544,9,11,0.35650623885918004,0.009506833036244802,0
sbrigani,Sbrigani,False,MALE,12,131,2506,7,15,0.3361344537815126,0.00677361853832442,0
monsieur-de-pourceaugnac,Monsieur de Pourceaugnac,False,MALE,16,185,1960,16,30,0.4901960784313726,0.17801544860368385,0
l-apothicaire,L'Apothicaire,False,MALE,3,14,503,6,7,0.34602076124567477,0.022697563874034456,0
le-paysan,Le Paysan,False,UNKNOWN,1,2,39,4,4,0.26143790849673204,0.0,0
premier-medecin,Premier Médecin,False,MALE,5,52,1604,8,10,0.34602076124567477,0.021628045157456928,0
la-paysanne,La Paysanne,False,UNKNOWN,1,4,18,4,4,0.26143790849673204,0.0,0
second-medecin,Second Médecin,False,MALE,1,1,323,2,2,0.29411764705882354,0.0,0
deux-musiciens,Deux Musiciens,False,UNKNOWN,2,2,66,4,4,0.32679738562091504,0.0641711229946524,0
premier-musicien,Premier Musicien,False,MALE,1,1,26,2,2,0.21786492374727667,0.0,0
second-musicien,Second Musicien,False,MALE,1,1,28,2,2,0.21786492374727667,0.0,0
oronte,Oronte,False,MALE,8,67,663,10,16,0.36764705882352944,0.01633986928104575,0
lucette,Lucette,False,FEMALE,2,18,545,6,8,0.3095975232198142,0.0,0
jeanet,Jeanet,False,UNKNOWN,1,0,13,6,6,0.3095975232198142,0.0,0
fanchon,Fanchon,False,UNKNOWN,1,0,13,6,6,0.3095975232198142,0.0,0
madelaine,Madelaine,False,UNKNOWN,1,0,13,6,6,0.3095975232198142,0.0,0
l-avocat-trainant,L Avocat Trainant,False,UNKNOWN,1,1,9,1,1,0.029411764705882353,0.0,0
l-avocat-bredouilleur,L Avocat Bredouilleur,False,UNKNOWN,1,1,95,1,1,0.029411764705882353,0.0,0
premier-suisse,Premier Suisse,False,MALE,2,12,146,3,5,0.28694404591104733,0.0,0
second-suisse,Second Suisse,False,MALE,2,10,87,3,5,0.28694404591104733,0.0,0
l-exempt,L Exempt,False,UNKNOWN,2,13,186,4,5,0.29411764705882354,0.0017825311942959,0
l-egyptienne,L Egyptienne,False,UNKNOWN,1,5,80,7,7,0.20588235294117646,0.0,0
choeur-des-musiciens,Choeur des Musiciens,False,UNKNOWN,1,1,12,7,7,0.20588235294117646,0.0,0
l-egyptien,L Egyptien,False,UNKNOWN,1,4,48,7,7,0.20588235294117646,0.0,0
egyptien,Egyptien,False,UNKNOWN,1,0,10,7,7,0.20588235294117646,0.0,0
egyptienne,Egyptienne,False,UNKNOWN,1,0,10,7,7,0.20588235294117646,0.0,0
le-petit-choeur,Le Petit Choeur,False,UNKNOWN,1,1,9,7,7,0.20588235294117646,0.0,0
un-musicien,Un Musicien,False,UNKNOWN,1,1,19,7,7,0.20588235294117646,0.0,0
tous-ensemble,Tous Ensemble,False,UNKNOWN,1,1,12,7,7,0.20588235294117646,0.0,0
