id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
flore,Flore,False,MALE,1,2,112,7,7,0.4019756838905775,0.0,0.1852755787921414
choeur,Choeur,False,UNKNOWN,2,3,140,7,7,0.4019756838905775,0.0,0.1852755787921414
vertumne,Vertumne,False,FEMALE,1,4,55,7,7,0.4019756838905775,0.0,0.1852755787921414
palaemon,Palaemon,False,UNKNOWN,1,4,64,7,7,0.4019756838905775,0.0,0.1852755787921414
venus,Aegiale,False,FEMALE,4,21,1542,14,17,0.5904017857142857,0.11904761904761904,0.3711117321486088
aegiale,Aegiale,False,FEMALE,1,2,40,7,7,0.4019756838905775,0.0,0.1852755787921414
phaene,Phaene,False,FEMALE,1,2,52,7,7,0.4019756838905775,0.0,0.1852755787921414
l-amour,L'Amour,False,FEMALE,9,40,2720,15,20,0.6094470046082949,0.17724867724867724,0.37525637299362563
aglaure,Aglaure,False,FEMALE,8,36,1962,5,15,0.38556851311953355,0.003968253968253968,0.052571443691648234
cidippe,Cidippe,False,MALE,7,27,861,4,14,0.37785714285714284,0.0,0.048784409500431856
cleomene,Cléomène,False,MALE,4,18,850,4,11,0.37785714285714284,0.0,0.048784409500431856
agenor,Agénor,False,MALE,4,13,684,4,11,0.37785714285714284,0.0,0.048784409500431856
psyche,Psyché,False,FEMALE,16,72,4424,15,26,0.6094470046082949,0.32936507936507936,0.2902980406315389
lycas,Lycas,False,MALE,2,7,189,2,2,0.3633241758241758,0.0,0.03797725525398028
femme-desolee,Femme Desolee,False,UNKNOWN,1,2,45,3,3,0.10714285714285714,0.0,1.583734745168092e-08
premier-homme-afflige,Premier Homme Afflige,False,UNKNOWN,1,4,8,3,3,0.10714285714285714,0.0,1.583734745168092e-08
second-homme-afflige,Second Homme Afflige,False,UNKNOWN,1,4,32,3,3,0.10714285714285714,0.0,1.583734745168092e-08
trois-affliges,Trois Affliges,False,UNKNOWN,1,2,28,3,3,0.10714285714285714,0.0,1.583734745168092e-08
le-roi,Le Roi,False,MALE,1,7,831,1,1,0.3564690026954178,0.0,0.03215420706577913
vulcain,Vulcain,False,UNKNOWN,1,1,109,0,0,0.0,0.0,2.3046373755905255e-19
zephyr,Zephyr,False,UNKNOWN,2,9,597,1,2,0.3564690026954178,0.0,0.04156407682858181
le-dieu-du-fleuve,Le Dieu du Fleuve,False,UNKNOWN,1,1,59,1,1,0.3564690026954178,0.0,0.03215420706577913
jupiter,Jupiter,False,MALE,1,3,148,8,8,0.4971804511278195,0.0,0.2602617351353916
apollon,Apollon,False,UNKNOWN,1,2,128,8,8,0.4971804511278195,0.0,0.2602617351353916
divinites,Divinites,False,UNKNOWN,1,1,51,8,8,0.4971804511278195,0.0,0.2602617351353916
muses,Muses,False,UNKNOWN,1,1,91,8,8,0.4971804511278195,0.0,0.2602617351353916
bacchus,Bacchus,False,UNKNOWN,2,2,83,9,10,0.5106177606177605,0.027777777777777776,0.26614076593553715
mome,Mome,False,UNKNOWN,2,2,156,9,10,0.5106177606177605,0.027777777777777776,0.26614076593553715
mars,Mars,False,UNKNOWN,1,1,22,2,2,0.32573891625615764,0.0,0.058956790448201284
