id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
thalie,Thalie,False,UNKNOWN,1,6,210,1,1,0.07692307692307693,0.0,2.798175378029797e-07
venus,Venus,False,UNKNOWN,1,5,198,1,1,0.07692307692307693,0.0,2.798175378029797e-07
lisis,Lisis,False,MALE,5,61,901,9,16,0.7159763313609467,0.03418803418803418,0.3255426178426434
dromon,Dromon,False,MALE,2,12,318,3,4,0.44322344322344326,0.0,0.1167091875643372
carite,Carite,False,FEMALE,3,19,273,9,14,0.7159763313609467,0.03418803418803418,0.3255426178426434
mirto,Mirto,False,FEMALE,3,24,739,9,14,0.7159763313609467,0.03418803418803418,0.3255426178426434
nicandre,Nicandre,False,MALE,7,61,765,10,22,0.7756410256410255,0.06410256410256408,0.3390339941949198
phorbas,Phorbas,False,MALE,3,17,131,10,14,0.7756410256410255,0.06410256410256408,0.3390339941949198
anaximene,Anaximène,False,MALE,3,17,206,10,14,0.7756410256410255,0.06410256410256408,0.3390339941949198
un-esclave,Un Esclave,False,MALE,2,3,25,3,4,0.4653846153846154,0.0,0.12154660702912101
tergalion,Tergalion,False,MALE,1,7,149,3,3,0.4653846153846154,0.0,0.12154660702912101
aristeme,Aristème,False,MALE,2,14,397,8,11,0.6648351648351648,0.0,0.3130844797721142
electre,Electre,False,UNKNOWN,2,10,122,8,11,0.6648351648351648,0.0,0.3130844797721142
oreste,Oreste,False,UNKNOWN,2,9,74,8,11,0.6648351648351648,0.0,0.3130844797721142
