id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-dieu-lare,Le Dieu Lare,False,MALE,1,1,404,0,0,0.0,0.0,3.224524516115133e-10
euclion,Euclion,False,MALE,18,140,4096,5,13,0.5664335664335665,0.04848484848484848,0.3831567091164229
staphyla,Staphyla,False,FEMALE,6,17,359,3,5,0.46022727272727276,0.0,0.25092152478715124
eunomie,Eunomie,False,FEMALE,3,21,383,4,6,0.5259740259740261,0.03939393939393939,0.30134447680401916
megadore,Mégadore,False,MALE,5,69,1468,4,9,0.5259740259740261,0.00606060606060606,0.34233228822355155
strobile,Strobile,False,MALE,12,85,2105,8,14,0.7363636363636364,0.2757575757575757,0.500946861344968
congrion,Congrion,False,MALE,6,38,646,4,7,0.4909090909090909,0.01818181818181818,0.2807649490049668
anthrax,Anthrax,False,MALE,2,5,169,2,2,0.43315508021390375,0.0,0.1683867645602054
pythodicus,Pythodicus,False,MALE,1,1,92,0,0,0.0,0.0,3.224524516115133e-10
lyconide,Lyconide,False,MALE,7,74,1416,6,12,0.6136363636363636,0.1212121212121212,0.4037912018379245
phedria,Phedria,False,UNKNOWN,1,1,20,2,2,0.3875598086124402,0.0,0.15189003296772252
les-correcteurs,Les Correcteurs,False,UNKNOWN,1,1,4,2,2,0.46022727272727276,0.0,0.19488638136119593
