id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-venerable,Le Vénérable,False,MALE,6,37,747,9,12,1.0,0.38888888888888884,0.44759256072753417
le-surveillant,Le Surveillant,False,UNKNOWN,2,24,506,5,6,0.6923076923076923,0.0,0.3284559456875278
les-deux-surveillants,Les Deux Surveillants,False,UNKNOWN,1,1,59,1,1,0.5294117647058824,0.0,0.07866826487245235
choeur-des-femmes,Choeur des Femmes,False,UNKNOWN,1,4,18,5,5,0.6923076923076923,0.0,0.3284559456875278
hortense,Hortense,False,FEMALE,5,24,784,8,11,0.9,0.16666666666666666,0.43583280393472296
choeur-de-francs-maçons,Choeur de Francs Maçons,False,UNKNOWN,1,2,7,5,5,0.6923076923076923,0.0,0.3284559456875278
marine,Marine,False,FEMALE,2,3,50,5,6,0.6923076923076923,0.0,0.3284559456875278
le-premier-surveillant,Le Premier Surveillant,False,MALE,1,3,56,4,4,0.6428571428571429,0.0,0.23943596058777458
le-second-surveillant,Le Second Surveillant,False,MALE,1,2,47,4,4,0.6428571428571429,0.0,0.23943596058777458
choeur-des-francs-macons,Choeur des Francs Macons,False,UNKNOWN,1,1,5,4,4,0.6428571428571429,0.0,0.23943596058777458
