id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-chevalier,Le Chevalier,False,MALE,4,16,268,4,8,0.23529411764705882,0.0024509803921568627,1.9760264003035054e-05
le-marquis,Le Marquis,False,MALE,3,10,244,4,7,0.23529411764705882,0.0024509803921568627,1.9760264003035054e-05
la-presidente,La Présidente,False,FEMALE,3,20,364,4,7,0.23529411764705882,0.0024509803921568627,1.9760264003035054e-05
la-fleur,La Fleur,False,UNKNOWN,1,3,32,3,3,0.18823529411764706,0.0,1.626024019498869e-05
monsieur-serpolet,Monsieur Serpolet,False,MALE,1,12,74,3,3,0.18823529411764706,0.0,1.626024019498869e-05
l-amour,L'Amour,False,MALE,2,13,456,2,2,0.3850267379679144,0.08088235294117647,0.13336171767312963
l-esperance,L'Espérance,False,FEMALE,2,5,117,1,1,0.25668449197860965,0.0,0.029954146661906312
mercure,Mercure,False,MALE,11,80,1828,11,17,0.65158371040724,0.375,0.5637982957451997
caron,Caron,False,MALE,1,8,151,1,1,0.35294117647058826,0.0,0.12663376816934355
pluton,Pluton,False,MALE,7,24,457,7,13,0.47058823529411764,0.051470588235294115,0.46965951807564116
la-vieillesse,La Vieillesse,False,FEMALE,1,4,150,2,2,0.36828644501278773,0.0,0.23212318695502054
la-migraine,La Migraine,False,FEMALE,1,6,217,1,1,0.35294117647058826,0.0,0.12663376816934355
la-necessite,La Nécessité,False,FEMALE,1,3,182,2,2,0.36828644501278773,0.0,0.23212318695502054
la-paralysie,La Paralysie,False,FEMALE,1,8,147,2,2,0.36828644501278773,0.0,0.23212318695502054
l-envie,L'Envie,False,FEMALE,1,5,206,3,3,0.3850267379679144,0.0,0.29936248014879585
la-haine,La Haine,False,FEMALE,1,4,144,3,3,0.3850267379679144,0.0,0.29936248014879585
la-fievre,La Fièvre,False,FEMALE,1,5,54,1,1,0.35294117647058826,0.0,0.12663376816934355
le-transport,Le Transport,False,MALE,1,9,319,2,2,0.36828644501278773,0.0,0.23212318695502054
