id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
goulemer,Goulemer,False,MALE,2,23,345,5,7,0.5833333333333334,0.010465724751439037,0.12277168657128408
frelingue,Frelingue,False,FEMALE,1,6,90,3,3,0.5,0.0,0.07333863797807268
marille,Marille,False,FEMALE,6,28,308,11,22,0.8235294117647058,0.25269492412349565,0.3341446828472277
badzin,Badzin,False,MALE,2,11,132,5,7,0.5833333333333334,0.010465724751439037,0.12277168657128408
pacole,Pacole,False,FEMALE,4,10,120,10,13,0.7777777777777778,0.1621664050235479,0.32563127263334324
l-hote,L'Hôte,False,MALE,1,15,252,4,4,0.56,0.0,0.11453527489617456
la-hollande,La Hollande,False,FEMALE,8,56,846,10,26,0.7777777777777778,0.08885400313971743,0.3510732995103479
beline,Beline,False,FEMALE,5,15,138,10,21,0.7777777777777778,0.08885400313971743,0.3510732995103479
la-flamande,La Flamande,False,FEMALE,1,7,233,2,2,0.4666666666666667,0.0,0.0888303637518624
premier-bourguemestre,Premier Bourguemestre,False,UNKNOWN,2,5,210,6,8,0.6086956521739131,0.0,0.24766603290692576
second-bourguemestre,Second Bourguemestre,False,UNKNOWN,2,5,126,6,8,0.6086956521739131,0.0,0.24766603290692576
le-français,Le Français,False,UNKNOWN,3,29,405,9,17,0.7368421052631579,0.022919937205651494,0.34109725580729383
l-anglais,L Anglais,False,UNKNOWN,3,19,403,9,17,0.7368421052631579,0.022919937205651494,0.34109725580729383
l-espagnol,L Espagnol,False,UNKNOWN,2,17,310,6,11,0.6363636363636364,0.0,0.24889916212422622
l-allemand,L Allemand,False,UNKNOWN,1,3,79,6,6,0.6363636363636364,0.0,0.24889916212422622
