id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
lepide,Lépide,False,MALE,5,18,843,3,5,0.5625,0.0,0.3044379958927426
aurilcar,Aurilcar,False,MALE,3,13,584,3,3,0.5625,0.0,0.3044379958927426
erixene,Erixene,False,FEMALE,6,14,1198,5,5,0.6923076923076923,0.2777777777777778,0.4085765763854518
scipion,Scipion,False,MALE,15,59,4157,7,14,0.8181818181818182,0.3472222222222222,0.5274704798318152
isperie,Ispérie,False,FEMALE,15,47,2475,6,14,0.75,0.3472222222222222,0.42819571932118655
ermilie,Ermilie,False,FEMALE,3,4,253,1,3,0.45,0.0,0.10508768484191923
lucejus,Lucejus,False,MALE,3,16,916,2,4,0.5294117647058824,0.0,0.234538967185525
barce,Barcé,False,FEMALE,1,4,178,1,1,0.42857142857142855,0.0,0.10027218214927407
annibal,Annibal,False,MALE,3,19,1624,2,3,0.5294117647058824,0.0,0.234538967185525
sextus,Sextus,False,MALE,1,1,43,2,2,0.5294117647058824,0.0,0.234538967185525
