id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
scipion,Scipion,False,MALE,13,43,1967,7,26,0.6842105263157895,0.17707570207570206,0.3185833422439782
caton,Caton,False,MALE,9,16,1049,5,21,0.5909090909090909,0.012637362637362636,0.25751310486796425
lelie,Lélie,False,MALE,7,17,920,4,17,0.5652173913043478,0.005799755799755799,0.21122738334700172
un-soldat,Un Soldat,False,MALE,5,7,435,6,9,0.65,0.028418803418803415,0.3276684542087571
amilcar,Amilcar,False,MALE,6,14,1250,10,14,0.8125,0.3464896214896214,0.4136339255490308
sophronice,Sophronice,False,FEMALE,11,57,2239,8,21,0.7222222222222222,0.14444444444444446,0.37992670827974545
clorisbe,Clorisbé,False,FEMALE,6,23,564,6,16,0.6190476190476191,0.035103785103785104,0.3111610262238358
faustine,Faustine,False,FEMALE,6,21,534,6,16,0.6190476190476191,0.035103785103785104,0.3111610262238358
asdrubal,Asdrubal,False,MALE,10,72,2044,6,19,0.5909090909090909,0.051007326007326,0.29437356537480897
le-centurion,Le Centurion,False,MALE,1,1,7,1,1,0.41935483870967744,0.0,0.05240500165248548
cliphax,Cliphax,False,MALE,2,4,165,4,5,0.5652173913043478,0.022893772893772892,0.16822476678912088
cleobule,Cléobule,False,MALE,1,2,83,3,3,0.5,0.0,0.11455713946080665
lucius,Lucius,False,MALE,1,1,62,3,3,0.5,0.0,0.11455713946080665
gobrias,Gobrias,False,UNKNOWN,1,1,29,3,3,0.4642857142857143,0.0,0.16486359889982002
