id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
ormin,Ormin,False,UNKNOWN,15,63,2226,9,27,0.8461538461538461,0.04787878787878787,0.3512852891408232
zegry,Zégry,False,MALE,13,106,2951,9,25,0.8461538461538461,0.04787878787878787,0.3512852891408232
alabez,Alabez,False,MALE,6,34,434,7,14,0.6875,0.045454545454545456,0.2615175433211095
charife,Charife,False,MALE,8,34,570,4,14,0.5789473684210527,0.0,0.16886191888471372
fatime,Fatime,False,FEMALE,8,51,1223,9,19,0.8461538461538461,0.04787878787878787,0.3512852891408232
almansor,Almansor,False,UNKNOWN,16,128,3354,9,25,0.8461538461538461,0.06909090909090909,0.3460003456292496
zaïde,Zaïde,False,FEMALE,10,103,1781,8,18,0.7857142857142857,0.18181818181818182,0.30680138221823616
medine,Médine,False,FEMALE,2,13,280,1,2,0.4583333333333333,0.0,0.03938540943524446
adibar,Adibar,False,MALE,7,40,822,9,18,0.8461538461538461,0.06909090909090909,0.3460003456292496
gasul,Gasul,False,MALE,2,7,55,3,4,0.55,0.0,0.12240873485688353
gomelle,Gomelle,False,MALE,4,26,319,7,11,0.7333333333333333,0.0,0.30232059841980957
lindarache,Lindarache,False,MALE,2,14,495,7,9,0.7333333333333333,0.0,0.30232059841980957
