id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
barsine,Barsine,False,FEMALE,10,45,3219,6,13,0.75,0.22916666666666666,0.34518151821256293
cephise,Céphise,False,FEMALE,3,11,354,1,3,0.45,0.0,0.06176426128117474
seleucus,Séleucus,False,MALE,13,89,4822,6,18,0.75,0.07638888888888888,0.35743266856034805
policrate,Policrate,False,MALE,3,6,282,2,4,0.5294117647058824,0.0,0.1424835651000828
antiochus,Antiochus,False,MALE,10,79,3519,7,16,0.8181818181818182,0.09027777777777778,0.4172401884102391
timante,Timante,False,MALE,5,22,336,4,8,0.6,0.0,0.268269965382462
philipe,Philipe,False,UNKNOWN,2,5,280,4,5,0.6428571428571429,0.0,0.27890548397064424
stratonice,Stratonice,False,FEMALE,12,75,3025,8,19,0.9,0.21527777777777776,0.43886565309166264
zenone,Zénone,False,FEMALE,5,22,488,4,8,0.6,0.0,0.268269965382462
zabas,Zabas,False,MALE,3,3,105,6,6,0.75,0.05555555555555555,0.3749092726318761
