id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
paris,Pâris,False,MALE,7,37,650,5,21,0.5555555555555556,0,0.4082482904451264
oenone,Oenone,False,FEMALE,9,47,728,5,28,0.5555555555555556,0,0.4082482904451264
momus,Momus,False,MALE,10,67,1759,5,32,0.5555555555555556,0,0.4082482904451264
junon,Junon,False,FEMALE,6,32,426,5,22,0.5555555555555556,0,0.4082482904451264
venus,Vénus,False,FEMALE,6,27,383,5,20,0.5555555555555556,0,0.4082482904451264
pallas,Pallas,False,FEMALE,6,35,781,5,21,0.5555555555555556,0,0.4082482904451264
premiere-des-graces,Premiere des Graces,False,UNKNOWN,1,1,93,3,3,0.3333333333333333,0,4.790370687788133e-06
deuxieme-grace,Deuxieme Grace,False,UNKNOWN,1,1,44,3,3,0.3333333333333333,0,4.790370687788133e-06
troisieme-grace,Troisieme Grace,False,UNKNOWN,1,1,47,3,3,0.3333333333333333,0,4.790370687788133e-06
les-deux-premieres-graces,Les Deux Premieres Graces,False,UNKNOWN,1,1,31,3,3,0.3333333333333333,0,4.790370687788133e-06
