id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
amelie,Amélie,False,FEMALE,16,100,3265,8,37,0.7692307692307693,0.06666666666666667,0.3495221004847236
dorise,Dorise,False,FEMALE,2,22,486,2,3,0.5263157894736842,0.0,0.09916532433099556
dionys,Dionys,False,MALE,21,104,3782,9,45,0.9090909090909091,0.18518518518518517,0.3679978297831541
eraste,Eraste,False,MALE,6,24,958,8,16,0.8333333333333334,0.07407407407407407,0.35595675795888176
emile,Emile,False,FEMALE,4,41,1470,7,15,0.7142857142857143,0.0,0.3374810286604512
le-valet,Le Valet,False,MALE,6,33,791,7,15,0.7142857142857143,0.0,0.33748102866045127
lisidan,Lisidan,False,MALE,14,44,1489,8,33,0.8333333333333334,0.07407407407407407,0.35595675795888176
le-pere,Le Père,False,MALE,2,3,273,4,4,0.625,0.2,0.15215681712645643
erante,Erante,False,FEMALE,9,40,1585,7,28,0.7142857142857143,0.0,0.3374810286604512
cloris,Cloris,False,FEMALE,7,19,1566,7,17,0.7142857142857143,0.0,0.33748102866045127
la-nourrice,La Nourrice,False,UNKNOWN,1,2,174,1,1,0.4,0.0,0.02102936289688807
