id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
alphrede,Alphrède,False,FEMALE,10,61,3672,13,28,0.782608695652174,0.13708372237784,0.3854930246464348
cleandre,Cléandre,False,MALE,6,14,401,5,14,0.5806451612903226,0.0,0.21102922744197553
rodolphe,Rodolphe,False,MALE,13,48,3701,8,24,0.6428571428571429,0.04473233737939621,0.2631031698488611
premier-arabe,I. Arabe,False,MALE,3,4,43,5,8,0.5806451612903226,0.014021164021164025,0.1629365320004768
deuxieme-arabe,Deuxieme Arabe,False,UNKNOWN,2,3,35,3,5,0.43902439024390244,0.0,0.09012971045171557
ferrande,Ferrande,False,MALE,11,33,2281,10,24,0.6923076923076923,0.09701991907874258,0.28665039404224707
amyntas,Amyntas,False,MALE,7,33,1753,6,10,0.6,0.011710239651416121,0.2107759070397769
acaste,Acaste,False,MALE,14,59,2272,17,40,0.9473684210526315,0.402902272019919,0.43774573665562727
olenie,[olénie],False,FEMALE,1,1,48,3,3,0.5294117647058824,0.0,0.13076479722592463
eraste,Eraste,False,MALE,2,5,101,5,6,0.5625,0.0,0.18366192739492634
eurylas,Eurylas,False,MALE,4,12,571,8,15,0.6206896551724138,0.0196078431372549,0.2617394187791374
premier-soldat,Premier Soldat,False,UNKNOWN,1,1,2,5,5,0.5625,0.0,0.18366192739492634
deuxieme-soldat,Deuxieme Soldat,False,UNKNOWN,1,1,3,5,5,0.5625,0.0,0.18366192739492634
isabelle,Isabelle,False,FEMALE,9,28,1025,9,25,0.6666666666666666,0.050700280112044825,0.29570638409459327
premier-valet,Premier Valet,False,UNKNOWN,2,2,12,5,7,0.5625,0.0,0.19988304176162028
orante,Orante,False,FEMALE,7,22,1385,5,13,0.5625,0.0,0.19988304176162028
le-page,Le Page,False,UNKNOWN,1,1,13,2,2,0.5142857142857142,0.0,0.09275463443541872
le-pere,Le Pere,False,UNKNOWN,1,5,83,3,3,0.5454545454545454,0.0,0.10487220980575138
l-oncle,L Oncle,False,UNKNOWN,1,1,27,3,3,0.5454545454545454,0.0,0.10487220980575138
