id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
la-reine,La Reine,False,UNKNOWN,12,50,2833,11,33,0.9230769230769231,0.10606060606060606,0.3504071080789403
cleonte,Cléonte,False,MALE,9,30,1720,11,29,0.9230769230769231,0.10606060606060606,0.3504071080789403
clorimand,Clorimand,False,MALE,8,55,4692,11,31,0.9230769230769231,0.10606060606060606,0.3504071080789403
atys,Atys,False,MALE,2,4,111,5,7,0.6,0.0,0.1603998725240639
ormin,Ormin,False,MALE,2,6,153,5,7,0.6,0.0,0.1603998725240639
lerme,Lerme,False,MALE,2,2,111,5,7,0.6,0.0,0.1603998725240639
lysis,Lysis,False,MALE,5,11,573,8,20,0.75,0.0,0.3000393190163264
adraste,Adraste,False,FEMALE,8,28,2169,8,20,0.75,0.0,0.3000393190163264
isabelle,Isabelle,False,FEMALE,7,41,1702,8,19,0.75,0.0,0.3000393190163264
le-roi,Le Roi,False,UNKNOWN,5,24,1217,9,16,0.8,0.07575757575757576,0.30756650274766173
cleonis,Cléonis,False,MALE,2,4,126,2,3,0.48,0.0,0.07191341639829962
filemon,Filémon,False,MALE,2,4,66,9,10,0.8,0.07575757575757576,0.30756650274766173
cleonard,Cléonard,False,MALE,1,2,34,8,8,0.75,0.0,0.3000393190163264
