id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
venceslas,Venceslas,False,MALE,1,4,698,4,4,0.6428571428571429,0.0,0.21075619558470265
alexandre,Alexandre,False,MALE,5,23,1081,7,10,0.8181818181818182,0.055555555555555546,0.34767324972972863
ladislas,Ladislas,False,MALE,1,5,866,4,4,0.6428571428571429,0.0,0.21075619558470265
le-prince,Le Prince,False,UNKNOWN,18,75,4552,8,34,0.9,0.08888888888888889,0.38904694867093154
le-roi,Le Roi,False,UNKNOWN,18,75,3079,9,34,1.0,0.1861111111111111,0.411419963236032
le-duc,Le Duc,False,UNKNOWN,13,48,1847,6,22,0.75,0.005555555555555556,0.3324505107489366
octave,Octave,False,MALE,6,10,224,6,13,0.75,0.027777777777777776,0.3081416924827265
theodore,Théodore,False,MALE,13,47,1667,7,20,0.8181818181818182,0.047222222222222214,0.35482352531403716
cassandre,Cassandre,False,MALE,8,32,2328,6,17,0.75,0.005555555555555556,0.33245051074893656
leonor,Léonor,False,FEMALE,4,4,213,3,6,0.6,0.0,0.1666293134221479
