id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-capitaine,Le Capitaine,False,UNKNOWN,1,15,570,9,9,1,0,0.31622776601683794
le-pedant,Le Pedant,False,UNKNOWN,1,7,245,9,9,1,0,0.31622776601683794
le-musicien,Le Musicien,False,UNKNOWN,1,2,120,9,9,1,0,0.31622776601683794
une-dame,Une Dame,False,FEMALE,1,1,34,9,9,1,0,0.31622776601683794
l-abbe,L Abbe,False,UNKNOWN,1,3,163,9,9,1,0,0.31622776601683794
l-architecte,L Architecte,False,UNKNOWN,1,1,52,9,9,1,0,0.31622776601683794
le-sculpteur,Le Sculpteur,False,UNKNOWN,1,2,27,9,9,1,0,0.31622776601683794
le-peintre,Le Peintre,False,UNKNOWN,1,1,78,9,9,1,0,0.31622776601683794
un-matelot,Un Matelot,False,MALE,1,1,34,9,9,1,0,0.31622776601683794
le-notaire,Le Notaire,False,UNKNOWN,1,2,60,9,9,1,0,0.31622776601683794
