id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
laforet,Laforêt,False,FEMALE,2,16,636,1,2,0.33864915572232646,0.0,0.027651209270277987
moliere,Molière,False,MALE,9,36,1648,15,17,0.6036789297658862,0.26461538461538464,0.27935490095692456
ducroisy,Ducroisy,False,MALE,1,2,49,9,9,0.4787798408488063,0.0,0.26203262758708273
brecourt,Brécourt,False,MALE,1,1,29,9,9,0.4787798408488063,0.0,0.26203262758708273
la-grange,La Grange,False,MALE,1,2,68,9,9,0.4787798408488063,0.0,0.26203262758708273
mademoiselle-duparc,Mademoiselle Duparc,False,FEMALE,2,3,26,10,11,0.4958791208791209,0.01846153846153846,0.26690255312058453
mademoiselle-de-brie,Mademoiselle de Brie,False,FEMALE,2,4,60,13,16,0.5553846153846154,0.03692307692307692,0.32872759879733304
mademoiselle-bejart,Mademoiselle Béjart,False,FEMALE,1,3,36,9,9,0.4787798408488063,0.0,0.26203262758708273
mademoiselle-moliere,Mademoiselle Molière,False,FEMALE,2,7,166,13,16,0.5553846153846154,0.03692307692307692,0.32872759879733304
mademoiselle-herve,Mademoiselle Hervé,False,FEMALE,2,3,16,13,16,0.5553846153846154,0.03692307692307692,0.32872759879733304
mademoiselle-ducroisy,Mademoiselle Ducroisy,False,FEMALE,2,3,25,13,16,0.5553846153846154,0.03692307692307692,0.32872759879733304
bejart,Béjart,False,MALE,1,1,17,2,2,0.3471153846153846,0.0,0.054069855677115884
un-necessaire,Un Necessaire,False,UNKNOWN,1,1,3,1,1,0.33864915572232646,0.0,0.027651209270277987
le-deuxieme-necessaire,Le Deuxieme Necessaire,False,UNKNOWN,1,1,3,1,1,0.33864915572232646,0.0,0.027651209270277987
le-troisieme-necessaire,Le Troisieme Necessaire,False,UNKNOWN,1,1,3,1,1,0.33864915572232646,0.0,0.027651209270277987
le-quatrieme-necessaire,Le Quatrieme Necessaire,False,UNKNOWN,1,1,3,1,1,0.33864915572232646,0.0,0.027651209270277987
cinquieme-necessaire,Cinquième Nécessaire,False,MALE,1,1,6,7,7,0.3752598752598752,0.0,0.18512539093260405
sixieme-necessaire,Sixieme Necessaire,False,UNKNOWN,1,1,4,7,7,0.3752598752598752,0.0,0.18512539093260405
septieme-necessaire,Septieme Necessaire,False,UNKNOWN,1,1,5,7,7,0.3752598752598752,0.0,0.18512539093260405
mademoisrlle-duparc,Mademoisrlle Duparc,False,UNKNOWN,1,1,16,7,7,0.3752598752598752,0.0,0.18512539093260405
la-muse,La Muse,False,FEMALE,1,4,553,6,6,0.23076923076923078,0.0,6.422836405290003e-06
eschyle,Eschyle,False,UNKNOWN,1,1,195,6,6,0.23076923076923078,0.0,6.422836405290003e-06
sophocle,Sophocle,False,UNKNOWN,1,1,170,6,6,0.23076923076923078,0.0,6.422836405290003e-06
euripide,Euripide,False,UNKNOWN,1,1,177,6,6,0.23076923076923078,0.0,6.422836405290003e-06
shakespeare,Shakespeare,False,UNKNOWN,1,1,185,6,6,0.23076923076923078,0.0,6.422836405290003e-06
voltaire,Voltaire,False,UNKNOWN,1,1,92,6,6,0.23076923076923078,0.0,6.422836405290003e-06
beaumarchais,Beaumarchais,False,UNKNOWN,1,1,219,6,6,0.23076923076923078,0.0,6.422836405290003e-06
