id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
leonte,Léonte,False,MALE,8,55,2605,9,15,0.4143222506393862,0.2644927536231884,0.468024183875853
phulter,Phulter,False,MALE,3,13,1238,4,4,0.3707093821510297,0.150197628458498,0.18652458627127183
le-herault,Le Herault Sidonien,False,MALE,2,4,147,4,4,0.36120401337792646,0.02766798418972332,0.2341384898156198
abdolomin,Abdolomin,False,MALE,2,17,1595,2,3,0.11594202898550723,0.0,6.443409247807364e-07
balorte,Balorte,False,MALE,2,15,396,2,3,0.11594202898550723,0.0,6.443409247807364e-07
belcar,Belcar,False,MALE,3,9,870,4,4,0.3435843054082715,0.1818181818181818,0.16018389674430572
araxe,Araxe,False,MALE,2,3,98,5,5,0.38072855464159816,0.11890645586297761,0.3182883590452822
soldats,Soldats,False,UNKNOWN,2,5,62,3,5,0.33540372670807456,0.0,0.2507568524775051
timadon,Timadon,False,MALE,11,38,1389,7,16,0.38072855464159816,0.1429512516469038,0.4271319557903597
pharnabaze,Pharnabaze,False,MALE,2,13,1402,2,2,0.26579163248564397,0.06719367588932806,0.040264968221752684
le-courrier,Le Courrier,False,MALE,1,8,258,1,1,0.2012422360248447,0.0,0.008320842279759481
cassandre,Cassandre,False,FEMALE,2,4,573,1,1,0.19840783833435396,0.0,0.007479529247272079
meliane,Méliane,False,FEMALE,3,8,855,3,3,0.2608695652173913,0.13043478260869565,0.03619358003252367
zorote,Zorote,False,MALE,7,29,1846,5,6,0.28748890860692106,0.04611330698287219,0.2645906694816825
philoline,Philoline,False,FEMALE,2,17,1015,4,4,0.32015810276679846,0.01548089591567852,0.3020847311960306
tharside,Tharside,False,FEMALE,4,18,975,4,6,0.32015810276679846,0.01548089591567852,0.3020847311960306
le-page,Le Page de Léonte,False,MALE,4,17,485,3,5,0.2762148337595908,0.02108036890645586,0.1611219299022651
almodice,Almodice,False,FEMALE,1,2,747,1,1,0.19840783833435396,0.0,0.007479529247272079
bagoas,Bagoas,False,MALE,1,9,150,2,2,0.21672240802675588,0.0,0.08797217693061526
la-ruine,La Ruine,False,MALE,2,11,683,2,3,0.2817391304347826,0.0,0.12190919641952778
la-debauche,La Débauche,False,MALE,2,10,345,2,3,0.2817391304347826,0.0,0.12190919641952778
le-prevot,Le Prévôt,False,MALE,1,8,131,2,2,0.11594202898550723,0.0,6.443409247807364e-07
archers,Archers,False,UNKNOWN,1,5,39,2,2,0.11594202898550723,0.0,6.443409247807364e-07
soldat,Autre Soldat,False,MALE,2,9,248,4,4,0.17391304347826086,0.015810276679841896,1.006172383499202e-06
