id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-docteur,Le Docteur,False,MALE,2,39,1168,8,9,0.8333333333333334,0.08888888888888889,0.3508483870954766
guillaume,Guillaume,False,MALE,1,5,28,2,2,0.5,0.0,0.09726044292232085
ernest,Ernest,False,MALE,5,63,790,8,12,0.8333333333333334,0.08888888888888889,0.3508483870954766
le-marquis,Le Marquis,False,MALE,6,91,1768,9,15,0.9090909090909091,0.16666666666666669,0.36354555227473684
la-marquise,La Marquise,False,MALE,6,64,1295,9,14,0.9090909090909091,0.16666666666666669,0.36354555227473684
julie,Julie,False,FEMALE,1,4,73,2,2,0.5263157894736842,0.0,0.10078059876429121
la-couturiere,La Couturière,False,FEMALE,1,3,45,2,2,0.5263157894736842,0.0,0.10078059876429121
la-comtesse,La Comtesse,False,FEMALE,1,6,92,7,7,0.7692307692307693,0.0,0.33900849158077667
la-baronne,La Baronne,False,FEMALE,1,3,31,7,7,0.7692307692307693,0.0,0.33900849158077667
la-marquis,La Marquis,False,UNKNOWN,1,1,22,7,7,0.7692307692307693,0.0,0.33900849158077667
un-domestique,Un Domestique,False,MALE,1,1,5,7,7,0.7692307692307693,0.0,0.33900849158077667
