id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
edmond,Edmond,False,MALE,15,180,3489,13,34,1.0,0.39529914529914534,0.4432169361854443
le-postillon,Le Postillon,False,MALE,11,48,936,11,29,0.8666666666666667,0.1517094017094017,0.41835613687056405
mathilde,Mathilde,False,FEMALE,10,120,2524,10,26,0.8125,0.10256410256410253,0.39764386153111964
deuxieme-postillon,Deuxieme Postillon,False,UNKNOWN,1,2,9,3,3,0.5652173913043478,0.0,0.18614607454231324
l-autre-postillon,L Autre Postillon,False,UNKNOWN,1,1,88,3,3,0.5652173913043478,0.0,0.18614607454231324
le-peuple,Le Peuple,False,UNKNOWN,1,1,26,5,5,0.6190476190476191,0.0,0.2642819404394187
la-marchande,La Marchande,False,FEMALE,1,1,7,5,5,0.6190476190476191,0.0,0.2642819404394187
premier-postillon,Premier Postillon,False,UNKNOWN,1,4,43,5,5,0.6190476190476191,0.0,0.2642819404394187
le-jeune-homme,Le Jenue Homme,False,MALE,1,9,122,4,4,0.5909090909090909,0.0,0.2184369705636979
tous-les-postillons,Tous les Postillons,False,UNKNOWN,1,1,2,4,4,0.5909090909090909,0.0,0.2184369705636979
la-maitresse-d-auberge,La Maîtresse d'Auberge,False,FEMALE,1,3,10,3,3,0.5652173913043478,0.0,0.16082338964178486
catherine,Catherine,False,FEMALE,4,20,232,5,7,0.6190476190476191,0.023504273504273504,0.22634281655173077
le-garçon,Le Garçon,False,MALE,2,4,17,3,4,0.5652173913043478,0.00641025641025641,0.1110925015634913
madame-de-bussieres,Madame de Bussières,False,FEMALE,1,17,758,2,2,0.5416666666666666,0.0,0.08194204026796818
