id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
monsieur-de-blandimare,Monsieur de Blandimar,False,MALE,5,21,2227,7,10,0.5128205128205128,0.08571428571428572,0.23776595898014302
belle-ombre,Belle-Ombre,False,MALE,3,10,551,9,9,0.606060606060606,0.009523809523809523,0.33177534861713043
arlequin,Arlequin,False,MALE,2,2,231,8,8,0.5128205128205128,0.0,0.30672124837575465
belle-fleur,Belle-Fleur,False,MALE,2,3,114,9,13,0.606060606060606,0.009523809523809523,0.33177534861713043
belle-epine,Belle-Epine,False,MALE,3,3,59,9,16,0.606060606060606,0.009523809523809523,0.33177534861713043
beau-sejour,Beau-Séjour,False,MALE,2,2,90,9,13,0.606060606060606,0.009523809523809523,0.33177534861713043
madame-belle-epine,La Femme de Belle-Epine,False,FEMALE,1,1,49,8,8,0.5128205128205128,0.0,0.30672124837575465
beau-soleil,Beau-Soleil,False,MALE,3,5,241,9,16,0.606060606060606,0.009523809523809523,0.33177534861713043
la-belle-epine,La Belle Epine,False,UNKNOWN,1,1,28,8,8,0.5128205128205128,0.0,0.30672124837575465
madame-beau-soleil,La Femme de Beau-Soleil,False,FEMALE,3,5,655,9,16,0.606060606060606,0.009523809523809523,0.33177534861713043
l-hote,L Hote,False,UNKNOWN,1,2,78,1,1,0.303030303030303,0.0,0.02800507788151899
tancrede,Tancrede,False,UNKNOWN,1,6,104,4,4,0.26666666666666666,0.0,3.080518019862261e-06
iris,Iris,False,UNKNOWN,1,6,109,4,4,0.26666666666666666,0.0,3.080518019862261e-06
clorice,Clorice,False,UNKNOWN,1,5,89,4,4,0.26666666666666666,0.0,3.080518019862261e-06
alcidon,Alcidon,False,UNKNOWN,1,6,107,4,4,0.26666666666666666,0.0,3.080518019862261e-06
clorlce,Clorlce,False,UNKNOWN,1,1,17,4,4,0.26666666666666666,0.0,3.080518019862261e-06
