id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
faussette,Faussette,False,FEMALE,2,5,182,3,4,0.5882352941176471,0.0,0.16380390270615738
thyrcee,Thyrcée,False,FEMALE,4,11,428,5,10,0.6666666666666666,0.025925925925925925,0.2439096628915529
choeurs,Choeurs,False,UNKNOWN,5,7,145,8,11,0.8333333333333334,0.1148148148148148,0.3804497914491271
bridon,Bridon,False,UNKNOWN,6,21,764,9,16,0.9090909090909091,0.17777777777777778,0.4042058202452895
fiston,Fiston,False,MALE,9,24,693,9,20,0.9090909090909091,0.1574074074074074,0.41396862944205187
le-paysan,Le Paysan,False,UNKNOWN,1,3,85,3,3,0.5882352941176471,0.0,0.1691418466093882
bebee,Bebée,False,FEMALE,12,27,1051,7,17,0.7692307692307693,0.03888888888888888,0.35722472246308545
tous,Tous,False,UNKNOWN,1,2,6,4,4,0.625,0.0,0.23865562584145955
les-choeurs,Les Choeurs,False,UNKNOWN,2,1,32,6,8,0.7142857142857143,0.018518518518518517,0.3231862513203866
alix,Alix,False,MALE,5,8,133,4,7,0.625,0.0,0.24777536771725756
enfants-de-choeur,Six Enfants de Choeur,False,MALE,1,1,33,4,4,0.625,0.0,0.23487226839580516
