id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
epicarie,Epicarie,False,FEMALE,2,17,566,7,8,0.7142857142857143,0.0,0.34593719163644154
patrice,Patrice,False,MALE,4,11,345,7,11,0.7142857142857143,0.0,0.34593719163644154
roguespine,Roguespine,False,MALE,7,43,3083,8,13,0.7692307692307693,0.13333333333333333,0.3540467392141116
ribercour,Ribercour,False,MALE,7,54,2661,8,16,0.8333333333333334,0.12592592592592594,0.3598566341603762
pancrace,Pancrace,False,MALE,5,15,586,8,14,0.8333333333333334,0.12592592592592594,0.3598566341603762
rodogine,Rodogine,False,FEMALE,2,8,364,2,2,0.5555555555555556,0.014814814814814815,0.0657173807790219
theocrite,Theocrite,False,MALE,5,20,1334,4,4,0.625,0.22222222222222224,0.11279933651186584
ergaste,Ergaste,False,MALE,1,13,244,1,1,0.4,0.0,0.01587907153685526
aristime,Aristime,False,MALE,2,3,62,7,9,0.7142857142857143,0.0,0.34593719163644154
anaxarite,Anaxarite,False,MALE,2,3,42,7,9,0.7142857142857143,0.0,0.34593719163644154
la-suivante,La Suivante,False,UNKNOWN,1,2,16,7,7,0.7142857142857143,0.0,0.34593719163644154
