id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
zaïre,Zaïre,False,FEMALE,2,11,381,1,2,0.45,0.0,0.09167245007499134
asterie,Astérie,False,FEMALE,12,61,2959,6,15,0.75,0.2592592592592592,0.43024352256227133
themir,Thémir,False,MALE,8,33,1430,4,9,0.6428571428571429,0.2222222222222222,0.29195430182766485
mirsas,Mirsas,False,MALE,1,4,87,1,1,0.4090909090909091,0.0,0.062207432705975625
tamerlan,Tamerlan,False,MALE,17,76,3252,7,20,0.8181818181818182,0.37037037037037035,0.4636265399557456
axalla,Axalla,False,MALE,7,22,882,5,9,0.6428571428571429,0.05555555555555555,0.3949945643108679
odmar,Odmar,False,MALE,2,4,454,2,3,0.5,0.0,0.18294681388774345
adanaxe,Adanaxe,False,MALE,11,63,2308,5,14,0.6923076923076923,0.037037037037037035,0.41414160546399925
bajazet,Bajazet,False,MALE,6,40,1448,4,10,0.6,0.0,0.36286083632972693
ciarcan,Ciarcan,False,MALE,1,1,54,1,1,0.47368421052631576,0.0,0.09878525767823718
