id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
damon,Damon,False,MALE,3,9,105,2,4,0.4,0.0,0.0196208520134755
leonore,Léonore,False,FEMALE,4,13,316,6,9,0.6153846153846154,0.058333333333333334,0.11307449526237738
monsieur-scrupule,Monsieur Scrupule,False,FEMALE,2,9,136,6,7,0.6153846153846154,0.058333333333333334,0.11307449526237738
jerome,Jérôme,False,FEMALE,5,58,636,15,32,0.9411764705882353,0.08779761904761904,0.3096790787170629
nicaise,Nicaise,False,MALE,5,63,757,15,32,0.9411764705882353,0.08779761904761904,0.3096790787170629
louison,Louison,False,FEMALE,3,21,288,13,26,0.8,0.016964285714285713,0.29162472667431166
le-choeur,Le Choeur,False,UNKNOWN,1,6,25,8,8,0.64,0.0,0.19803394035013003
javotte,Javotte,False,FEMALE,2,6,28,10,17,0.6956521739130435,0.0020833333333333333,0.23933917715022676
nanette,Nanette,False,FEMALE,3,10,95,13,26,0.8,0.016964285714285713,0.29162472667431166
babet,Babet,False,FEMALE,3,6,46,13,26,0.8,0.016964285714285713,0.29162472667431166
fanchon,Fanchon,False,FEMALE,3,7,65,13,26,0.8,0.016964285714285713,0.29162472667431166
toutes,Toutes,False,UNKNOWN,3,4,35,12,22,0.8,0.04791666666666666,0.2573935291929779
monsieur-crincrin,Monsieur Crincrin,False,UNKNOWN,1,6,132,9,9,0.6666666666666666,0.0,0.22352967728880824
tous,Tous,False,UNKNOWN,3,6,39,14,23,0.8888888888888888,0.0732142857142857,0.29386957885564435
premiere-marmotte,Première Marmotte,False,FEMALE,1,9,136,9,9,0.6666666666666666,0.0,0.21831490456175254
seconde-marmotte,Seconde Marmotte,False,FEMALE,1,5,59,9,9,0.6666666666666666,0.0,0.21831490456175254
ensemble,Ensemble,False,UNKNOWN,1,2,65,9,9,0.6666666666666666,0.0,0.21831490456175254
