id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
nicolas,Nicolas,False,MALE,6,17,414,7,17,0.8181818181818182,0.004629629629629629,0.2903656475087071
patafflard,Patafflard,False,MALE,9,50,1075,9,22,1.0,0.03194444444444444,0.3512933616682669
thomas,Thomas,False,MALE,10,65,761,9,31,1.0,0.03194444444444444,0.3512933616682669
mathurin,Mathurin,False,MALE,9,59,819,8,25,0.9,0.014814814814814814,0.3228498397158121
racine,Racine,False,MALE,3,22,769,9,16,1.0,0.03194444444444444,0.3512933616682669
tous,Tous,False,UNKNOWN,2,2,9,9,12,1.0,0.03194444444444444,0.3512933616682669
ensemble,Ensemble,False,UNKNOWN,1,1,2,6,6,0.75,0.0,0.25424735954959343
choeur,Choeur,False,UNKNOWN,3,4,47,8,13,0.9,0.014814814814814814,0.3228498397158121
nicette,Nicette,False,FEMALE,2,4,112,7,10,0.8181818181818182,0.004629629629629629,0.2903656475087071
mimi,Mimi,False,MALE,1,4,245,6,6,0.75,0.0,0.25424735954959343
