id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
thisbe,Thisbé,False,FEMALE,5,29,2613,2,3,0.3181818181818182,0.10909090909090909,0.2083800103803972
bersiane,Bersiane,False,FEMALE,1,11,203,1,1,0.22272727272727272,0.0,0.0765248985821151
narbal,Narbal,False,MALE,1,4,341,1,1,0.09090909090909091,0.0,3.765100073109763e-08
lidias,Lidias,False,MALE,1,4,371,1,1,0.09090909090909091,0.0,3.765100073109763e-08
le-roi,Le Roi,False,MALE,2,16,999,2,3,0.2784090909090909,0.0,0.3259245530282839
syllar,Syllar,False,MALE,3,31,890,4,5,0.4049586776859504,0.18181818181818182,0.561595235391163
pyrame,Pyrame,False,MALE,5,35,3661,4,5,0.44545454545454544,0.2545454545454545,0.490904558815124
disarque,Disarque,False,MALE,1,9,207,1,1,0.2784090909090909,0.0,0.1802769258075233
deuxis,Deuxis,False,MALE,1,24,652,2,2,0.34265734265734266,0.0,0.3865123780415647
un-messager,Un Messager,False,UNKNOWN,1,2,65,2,2,0.2784090909090909,0.0,0.3259245530282839
la-mere,La Mère de Thisbé,False,FEMALE,1,12,782,1,1,0.09090909090909091,0.0,3.765100073109763e-08
la-confidente,La Confidente,False,FEMALE,1,11,280,1,1,0.09090909090909091,0.0,3.765100073109763e-08
