id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
ninon,Ninon,False,FEMALE,12,118,4736,8,26,0.7,0.0015698587127158557,0.27307397812031753
gourvile,Gourvile,False,UNKNOWN,12,70,1925,13,37,0.9333333333333333,0.17482993197278912,0.35178808711894977
lisette,Lisette,False,FEMALE,9,49,1021,10,29,0.7777777777777778,0.03636839351125065,0.3044345359223905
monsieur-garant,Monsieur Garant,False,MALE,4,65,1600,7,11,0.6666666666666666,0.0,0.2453300775940567
le-jeune-gourvile,Le Jeune Gourvile,False,UNKNOWN,10,74,1560,12,35,0.875,0.07592883307169022,0.3456591803200849
gourvile-l-aine,Gourvile L Aine,False,UNKNOWN,6,37,889,10,16,0.7777777777777778,0.01915227629513344,0.31429862251801194
picard,Picard,False,MALE,6,40,952,9,17,0.7368421052631579,0.027472527472527476,0.28013799343445184
le-jeune-gourvil,Le Jeune Gourvil,False,UNKNOWN,1,1,5,5,5,0.5833333333333334,0.0,0.1583273344983376
le-jeune-gourvlle,Le Jeune Gourvlle,False,UNKNOWN,1,1,12,5,5,0.5833333333333334,0.0,0.1583273344983376
l-avocat-placet,L'Avocat Placet,False,MALE,3,35,610,7,11,0.6666666666666666,0.03296703296703297,0.2111927741753465
gourville,Gourville,False,UNKNOWN,1,5,76,2,2,0.5185185185185185,0.0,0.06188462827411129
madame-armand,Madame Armand,False,UNKNOWN,7,67,898,11,27,0.8235294117647058,0.08508634222919936,0.3212939961615129
monsieur-armand,Monsieur Armand,False,UNKNOWN,7,45,389,11,27,0.8235294117647058,0.08508634222919936,0.3212939961615129
monsieur-armand-,,False,,1,4,90,6,6,0.6363636363636364,0.0,0.20506386737648152
monsieur-garand,Monsieur Garand,False,UNKNOWN,1,14,295,2,2,0.4827586206896552,0.0,0.0706348621922994
