id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
zoilin,Zoïlin,False,MALE,12,107,2239,7,14,0.8181818181818182,0.26157407407407407,0.38204727258758203
la-fleur,La Fleur,False,MALE,1,2,11,1,1,0.47368421052631576,0.0,0.06912211286974328
le-laquais,Le Laquais,False,UNKNOWN,3,9,126,4,6,0.6428571428571429,0.011111111111111112,0.27929734009732493
laure,Laure,False,FEMALE,7,76,1487,5,9,0.6923076923076923,0.018055555555555554,0.33876153243983986
nicodon,Nicodon,False,MALE,6,77,1036,6,10,0.75,0.03425925925925926,0.3815516655140309
hortense,Hortense,False,FEMALE,6,28,1250,5,12,0.6923076923076923,0.013888888888888888,0.3286672450254006
ariston,Ariston,False,MALE,11,56,2055,8,22,0.9,0.1962962962962963,0.44449986105130423
clitandre,Clitandre,False,MALE,7,22,624,6,13,0.6923076923076923,0.08564814814814814,0.33561367856545815
l-exempt,L Exempt,False,UNKNOWN,1,5,26,2,2,0.5294117647058824,0.0,0.14114286930855724
cleon,Cléon,False,MALE,3,18,533,4,7,0.6428571428571429,0.018055555555555554,0.26972917212223313
