id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
l-orateur,L'Orateur,False,MALE,1,1,47,3,3,0.5714285714285714,0.0,0.06829402180116478
un-habitant-de-courdimanche,Un Habitant de Courdimanche,False,MALE,1,1,24,3,3,0.5714285714285714,0.0,0.06829402180116478
le-choeur,Le Choeur,False,MALE,2,16,2079,12,13,1.0,0.13636363636363635,0.3101478365203925
un-habitant,Un Habitant,False,UNKNOWN,2,3,313,12,13,1.0,0.13636363636363635,0.3101478365203925
le-bedeau,Le Bedeau,False,MALE,1,3,124,10,10,0.8571428571428571,0.0,0.29782330559053977
le-cure,Le Curé,False,MALE,1,1,31,10,10,0.8571428571428571,0.0,0.29782330559053977
la-marquise-de-prie,La Marquise de Prie,False,FEMALE,1,1,35,10,10,0.8571428571428571,0.0,0.29782330559053977
les-habitants-de-bellebat,Les Habitants de Bellebat,False,UNKNOWN,1,1,69,10,10,0.8571428571428571,0.0,0.29782330559053977
le-coryphee,Le Coryphée,False,MALE,1,5,106,10,10,0.8571428571428571,0.0,0.29782330559053977
deux-jeunes-filles,Deux Jeunes Filles,False,UNKNOWN,1,1,39,10,10,0.8571428571428571,0.0,0.29782330559053977
les-jeunes-filles,Les Jeunes Filles,False,FEMALE,1,1,23,10,10,0.8571428571428571,0.0,0.29782330559053977
voltaire,Voltaire,False,MALE,1,1,85,10,10,0.8571428571428571,0.0,0.29782330559053977
le-coadjuteur,Le Coadjuteur,False,MALE,1,1,60,10,10,0.8571428571428571,0.0,0.29782330559053977
