id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
mazael,Mazael,False,MALE,8,32,1214,4,13,0.6,0.018518518518518517,0.31694276949163874
salome,Salome,False,FEMALE,8,37,1911,4,12,0.6428571428571429,0.029629629629629627,0.33716022940093465
soheme,Sohême,False,MALE,8,29,1942,6,7,0.75,0.2962962962962963,0.3528787905389761
ammon,Ammon,False,MALE,1,2,49,1,1,0.45,0.0,0.07522023253813491
elise,Elise,False,FEMALE,3,5,218,3,4,0.6,0.011111111111111112,0.2696004956940626
mariamne,Mariamne,False,FEMALE,12,38,2258,7,16,0.8181818181818182,0.19629629629629625,0.4660559558646361
narbas,Narbas,False,MALE,5,20,1150,3,6,0.6,0.011111111111111112,0.2696004956940626
idamas,Idamas,False,MALE,3,12,475,3,4,0.6,0.029629629629629627,0.23781521529926553
herode,Hérode,False,MALE,11,66,2833,7,17,0.75,0.18518518518518515,0.44583849595534025
le-garde,Le Garde,False,UNKNOWN,1,1,43,2,2,0.5294117647058824,0.0,0.19438026320723367
