id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
anitus,Anitus,False,MALE,11,57,2175,16,32,0.8333333333333334,0.3943274853801169,0.36817534683460007
drixa,Drixa,False,FEMALE,5,16,495,7,14,0.6060606060606061,0.020116959064327485,0.19733763257423315
terpandre,Terpandre,False,MALE,3,4,79,6,12,0.5263157894736842,0.0,0.16453727041616584
acros,Acros,False,MALE,3,5,76,6,12,0.5263157894736842,0.0,0.16453727041616584
socrate,Socrate,False,MALE,13,40,2296,12,33,0.7142857142857143,0.12883040935672516,0.32936974080847425
aglae,Aglaé,False,FEMALE,6,29,926,8,18,0.625,0.02514619883040936,0.26489949026387605
sophronime,Sophronime,False,MALE,7,19,770,8,19,0.625,0.02514619883040936,0.26489949026387605
xantippe,Xantippe,False,FEMALE,7,14,941,11,20,0.6896551724137931,0.12,0.31382959240652963
nonoti,Nonoti,False,MALE,1,3,97,3,3,0.4878048780487805,0.0,0.05605746617118821
chomos,Chomos,False,MALE,1,2,49,3,3,0.4878048780487805,0.0,0.05605746617118821
bertios,Bertios,False,MALE,1,2,37,3,3,0.4878048780487805,0.0,0.05605746617118821
melitus,Mélitus,False,MALE,4,18,386,13,18,0.7407407407407407,0.12590643274853802,0.35059844195389167
les-juges,Les Juges,False,UNKNOWN,1,1,6,6,6,0.5263157894736842,0.0,0.16453727041616578
un-des-juges,Un des Juges,False,UNKNOWN,1,1,13,6,6,0.5263157894736842,0.0,0.16453727041616578
un-juge,Un Juge,False,UNKNOWN,2,13,365,8,11,0.625,0.007894736842105263,0.26118520114120286
un-autre-juge,Un Autre Juge,False,UNKNOWN,1,0,3,5,5,0.5714285714285714,0.0,0.17301211530437213
plusieurs-juges,Plusieurs Juges,False,UNKNOWN,1,2,7,5,5,0.5714285714285714,0.0,0.17301211530437213
criton,Criton,False,UNKNOWN,2,7,175,7,10,0.5,0.005263157894736842,0.19078217897361757
le-geolier,Le Geolier,False,UNKNOWN,1,1,9,5,5,0.47619047619047616,0.0,0.13540945529485413
un-des-disciples,Un des Disciples,False,UNKNOWN,2,3,46,7,10,0.5,0.005263157894736842,0.19078217897361757
une-des-valets-des-onze,Une des Valets des Onze,False,UNKNOWN,1,1,12,5,5,0.47619047619047616,0.0,0.13540945529485413
