Source,Type,Target,Weight
clement,Undirected,edouard,1
clement,Undirected,louis,1
clement,Undirected,armand,1
clement,Undirected,raymond,1
clement,Undirected,robert,1
clement,Undirected,henri,1
edouard,Undirected,louis,1
edouard,Undirected,armand,1
edouard,Undirected,raymond,1
edouard,Undirected,robert,1
edouard,Undirected,henri,1
louis,Undirected,armand,1
louis,Undirected,raymond,1
louis,Undirected,robert,1
louis,Undirected,henri,1
armand,Undirected,raymond,1
armand,Undirected,robert,1
armand,Undirected,henri,1
raymond,Undirected,robert,1
raymond,Undirected,henri,1
robert,Undirected,henri,1
