Source,Type,Target,Weight
le-genie-universel,Undirected,la-nation-huronne,1
le-genie-universel,Undirected,la-nation-algonquine,1
le-genie-universel,Undirected,le-premier-etranger,1
le-genie-universel,Undirected,le-genie-des-forets,1
le-genie-universel,Undirected,le-second-etranger,1
le-genie-universel,Undirected,le-genie-interprete,1
le-genie-universel,Undirected,le-premier-captif-huron,1
le-genie-universel,Undirected,captif-de-la-nation-des-nez-perces,1
premier-français,Undirected,second-français,1
premier-français,Undirected,troisieme-français,1
premier-français,Undirected,quatrieme-français,1
second-français,Undirected,troisieme-français,1
second-français,Undirected,quatrieme-français,1
troisieme-français,Undirected,quatrieme-français,1
la-nation-huronne,Undirected,la-nation-algonquine,1
la-nation-huronne,Undirected,le-premier-etranger,1
la-nation-huronne,Undirected,le-genie-des-forets,1
la-nation-huronne,Undirected,le-second-etranger,1
la-nation-huronne,Undirected,le-genie-interprete,1
la-nation-huronne,Undirected,le-premier-captif-huron,1
la-nation-huronne,Undirected,captif-de-la-nation-des-nez-perces,1
la-nation-algonquine,Undirected,le-premier-etranger,1
la-nation-algonquine,Undirected,le-genie-des-forets,1
la-nation-algonquine,Undirected,le-second-etranger,1
la-nation-algonquine,Undirected,le-genie-interprete,1
la-nation-algonquine,Undirected,le-premier-captif-huron,1
la-nation-algonquine,Undirected,captif-de-la-nation-des-nez-perces,1
le-premier-etranger,Undirected,le-genie-des-forets,1
le-premier-etranger,Undirected,le-second-etranger,1
le-premier-etranger,Undirected,le-genie-interprete,1
le-premier-etranger,Undirected,le-premier-captif-huron,1
le-premier-etranger,Undirected,captif-de-la-nation-des-nez-perces,1
le-genie-des-forets,Undirected,le-second-etranger,1
le-genie-des-forets,Undirected,le-genie-interprete,1
le-genie-des-forets,Undirected,le-premier-captif-huron,1
le-genie-des-forets,Undirected,captif-de-la-nation-des-nez-perces,1
le-second-etranger,Undirected,le-genie-interprete,1
le-second-etranger,Undirected,le-premier-captif-huron,1
le-second-etranger,Undirected,captif-de-la-nation-des-nez-perces,1
le-genie-interprete,Undirected,le-premier-captif-huron,1
le-genie-interprete,Undirected,captif-de-la-nation-des-nez-perces,1
le-premier-captif-huron,Undirected,captif-de-la-nation-des-nez-perces,1
