Source,Type,Target,Weight
monsieur-pot-de-vin,Undirected,babet,1
monsieur-pot-de-vin,Undirected,madame-la-comtesse,2
monsieur-pot-de-vin,Undirected,le-marquis,2
monsieur-pot-de-vin,Undirected,mademoiselle-adelaïde,2
monsieur-pot-de-vin,Undirected,monsieur-de-podolie,2
monsieur-pot-de-vin,Undirected,madame-pot-de-vin,1
monsieur-pot-de-vin,Undirected,mademoiselle-adelaide,1
monsieur-pot-de-vin,Undirected,monsieur-l-abbe-patelin,1
babet,Undirected,madame-pot-de-vin,1
babet,Undirected,le-marquis,1
babet,Undirected,monsieur-l-abbe-patelin,1
madame-la-comtesse,Undirected,le-marquis,2
madame-la-comtesse,Undirected,mademoiselle-adelaïde,2
madame-la-comtesse,Undirected,monsieur-de-podolie,2
madame-la-comtesse,Undirected,madame-pot-de-vin,1
madame-la-comtesse,Undirected,mademoiselle-adelaide,1
madame-la-comtesse,Undirected,monsieur-l-abbe-patelin,1
le-marquis,Undirected,mademoiselle-adelaïde,2
le-marquis,Undirected,monsieur-de-podolie,2
le-marquis,Undirected,madame-pot-de-vin,2
le-marquis,Undirected,mademoiselle-adelaide,1
le-marquis,Undirected,monsieur-l-abbe-patelin,2
mademoiselle-adelaïde,Undirected,monsieur-de-podolie,2
mademoiselle-adelaïde,Undirected,madame-pot-de-vin,1
mademoiselle-adelaïde,Undirected,mademoiselle-adelaide,1
mademoiselle-adelaïde,Undirected,monsieur-l-abbe-patelin,1
monsieur-de-podolie,Undirected,madame-pot-de-vin,1
monsieur-de-podolie,Undirected,mademoiselle-adelaide,1
monsieur-de-podolie,Undirected,monsieur-l-abbe-patelin,1
madame-pot-de-vin,Undirected,mademoiselle-adelaide,1
madame-pot-de-vin,Undirected,monsieur-l-abbe-patelin,2
mademoiselle-adelaide,Undirected,monsieur-l-abbe-patelin,1
