Source,Type,Target,Weight
cendrillon,Undirected,la-maraine,4
cendrillon,Undirected,la-cadette,4
cendrillon,Undirected,l-ainee,4
cendrillon,Undirected,les-deux-soeurs,3
cendrillon,Undirected,l-officier,1
cendrillon,Undirected,ensemble,1
cendrillon,Undirected,le-choeur-des-femmes,1
cendrillon,Undirected,azor,1
cendrillon,Undirected,pierrot,1
la-maraine,Undirected,le-choeur-des-femmes,1
la-maraine,Undirected,l-ainee,1
la-maraine,Undirected,la-cadette,1
la-maraine,Undirected,azor,1
la-maraine,Undirected,pierrot,1
la-maraine,Undirected,les-deux-soeurs,1
l-ainee,Undirected,la-cadette,6
l-ainee,Undirected,les-deux-soeurs,3
l-ainee,Undirected,l-officier,1
l-ainee,Undirected,ensemble,1
l-ainee,Undirected,pierrot,2
l-ainee,Undirected,azor,2
l-ainee,Undirected,le-choeur-des-femmes,1
la-cadette,Undirected,les-deux-soeurs,3
la-cadette,Undirected,l-officier,1
la-cadette,Undirected,ensemble,1
la-cadette,Undirected,pierrot,2
la-cadette,Undirected,azor,2
la-cadette,Undirected,le-choeur-des-femmes,1
les-deux-soeurs,Undirected,l-officier,1
les-deux-soeurs,Undirected,le-choeur-des-femmes,1
les-deux-soeurs,Undirected,azor,1
les-deux-soeurs,Undirected,pierrot,1
azor,Undirected,pierrot,3
azor,Undirected,le-choeur-des-femmes,1
pierrot,Undirected,le-suisse,1
pierrot,Undirected,le-choeur-des-femmes,2
le-suisse,Undirected,le-choeur-des-femmes,1
