Source,Type,Target,Weight
mariette,Undirected,leopold,2
mariette,Undirected,julie,6
mariette,Undirected,simon,4
mariette,Undirected,mademoiselle-lange,3
mariette,Undirected,choeur,1
leopold,Undirected,julie,4
leopold,Undirected,mademoiselle-lange,3
leopold,Undirected,simon,2
leopold,Undirected,choeur,1
julie,Undirected,mademoiselle-lange,6
julie,Undirected,simon,7
julie,Undirected,le-domestique,1
julie,Undirected,choeur,1
mademoiselle-lange,Undirected,simon,1
mademoiselle-lange,Undirected,choeur,1
simon,Undirected,le-domestique,1
simon,Undirected,choeur,1
