Source,Type,Target,Weight
momus,Undirected,thalie,6
momus,Undirected,lelie,2
momus,Undirected,sosie,15
momus,Undirected,tartuffe,2
momus,Undirected,madame-pernelle,2
momus,Undirected,harpagon,2
momus,Undirected,trissotin,4
momus,Undirected,alceste,3
momus,Undirected,angelique,4
momus,Undirected,claudine,2
momus,Undirected,clitandre,1
momus,Undirected,george-dandin,1
momus,Undirected,monsieur-jourdain,3
momus,Undirected,tous-les-acteurs,1
momus,Undirected,choeur,1
thalie,Undirected,sosie,6
thalie,Undirected,lelie,4
thalie,Undirected,tartuffe,1
thalie,Undirected,trissotin,1
thalie,Undirected,monsieur-jourdain,2
thalie,Undirected,tous-les-acteurs,1
thalie,Undirected,monsieur-le-kain,1
thalie,Undirected,monsieur-brizard,1
thalie,Undirected,choeur,2
thalie,Undirected,madame-pernelle,1
thalie,Undirected,angelique,1
thalie,Undirected,alceste,1
sosie,Undirected,lelie,2
sosie,Undirected,madame-pernelle,2
sosie,Undirected,harpagon,2
sosie,Undirected,trissotin,4
sosie,Undirected,alceste,3
sosie,Undirected,monsieur-jourdain,3
sosie,Undirected,angelique,2
sosie,Undirected,tartuffe,1
sosie,Undirected,tous-les-acteurs,1
sosie,Undirected,choeur,1
lelie,Undirected,tous-les-acteurs,1
tartuffe,Undirected,trissotin,1
tartuffe,Undirected,monsieur-jourdain,1
madame-pernelle,Undirected,choeur,1
madame-pernelle,Undirected,angelique,1
madame-pernelle,Undirected,monsieur-jourdain,1
madame-pernelle,Undirected,alceste,1
harpagon,Undirected,trissotin,1
trissotin,Undirected,alceste,1
trissotin,Undirected,monsieur-jourdain,1
alceste,Undirected,choeur,1
alceste,Undirected,angelique,1
alceste,Undirected,monsieur-jourdain,1
angelique,Undirected,claudine,2
angelique,Undirected,clitandre,1
angelique,Undirected,george-dandin,1
angelique,Undirected,monsieur-jourdain,2
angelique,Undirected,choeur,1
claudine,Undirected,clitandre,1
claudine,Undirected,george-dandin,1
monsieur-jourdain,Undirected,choeur,1
monsieur-le-kain,Undirected,monsieur-brizard,1
monsieur-le-kain,Undirected,choeur,1
monsieur-brizard,Undirected,choeur,1
