Source,Type,Target,Weight
double-croche,Undirected,leandre,3
double-croche,Undirected,le-baron,8
double-croche,Undirected,le-laquais,1
double-croche,Undirected,isabelle,3
double-croche,Undirected,euphrosine,3
double-croche,Undirected,anodin,1
double-croche,Undirected,vacarmini,2
leandre,Undirected,le-baron,2
leandre,Undirected,vacarmini,2
leandre,Undirected,isabelle,1
leandre,Undirected,euphrosine,1
le-baron,Undirected,le-laquais,2
le-baron,Undirected,isabelle,3
le-baron,Undirected,euphrosine,3
le-baron,Undirected,anodin,1
le-baron,Undirected,scribano,1
le-baron,Undirected,vacarmini,3
isabelle,Undirected,euphrosine,4
isabelle,Undirected,vacarmini,1
euphrosine,Undirected,vacarmini,1
