Source,Type,Target,Weight
hamilton,Undirected,beme,3
hamilton,Undirected,nevers,1
hamilton,Undirected,bussi,3
hamilton,Undirected,desadrets,1
hamilton,Undirected,tavanne,3
hamilton,Undirected,gondi,1
hamilton,Undirected,premier-conjure,1
hamilton,Undirected,second-conjure,1
hamilton,Undirected,troisieme-conjure,1
hamilton,Undirected,coligny,2
beme,Undirected,coligny,1
beme,Undirected,tavanne,1
beme,Undirected,bussi,1
nevers,Undirected,bussi,1
nevers,Undirected,desadrets,1
nevers,Undirected,tavanne,1
nevers,Undirected,gondi,1
bussi,Undirected,desadrets,1
bussi,Undirected,tavanne,3
bussi,Undirected,gondi,1
bussi,Undirected,premier-conjure,1
bussi,Undirected,second-conjure,1
bussi,Undirected,troisieme-conjure,1
bussi,Undirected,coligny,2
desadrets,Undirected,tavanne,1
desadrets,Undirected,gondi,1
tavanne,Undirected,gondi,1
tavanne,Undirected,premier-conjure,1
tavanne,Undirected,second-conjure,1
tavanne,Undirected,troisieme-conjure,1
tavanne,Undirected,coligny,2
marsillac,Undirected,lavardin,2
marsillac,Undirected,coligny,2
marsillac,Undirected,teligni,2
marsillac,Undirected,pardaillan,1
marsillac,Undirected,renel,1
marsillac,Undirected,querchi,1
lavardin,Undirected,coligny,1
coligny,Undirected,teligni,2
coligny,Undirected,un-garde,1
coligny,Undirected,premier-conjure,2
coligny,Undirected,second-conjure,2
coligny,Undirected,troisieme-conjure,2
coligny,Undirected,quatrieme-conjure,1
coligny,Undirected,pardaillan,1
coligny,Undirected,un-protestant,1
teligni,Undirected,pardaillan,2
teligni,Undirected,renel,1
teligni,Undirected,querchi,1
teligni,Undirected,un-protestant,1
pardaillan,Undirected,renel,1
pardaillan,Undirected,querchi,1
pardaillan,Undirected,un-protestant,1
renel,Undirected,querchi,1
premier-conjure,Undirected,second-conjure,2
premier-conjure,Undirected,troisieme-conjure,2
premier-conjure,Undirected,quatrieme-conjure,1
second-conjure,Undirected,troisieme-conjure,2
second-conjure,Undirected,quatrieme-conjure,1
troisieme-conjure,Undirected,quatrieme-conjure,1
