Source,Type,Target,Weight
xanthias,Undirected,aristophane,16
xanthias,Undirected,thalie,6
xanthias,Undirected,tous,1
xanthias,Undirected,realista,1
xanthias,Undirected,la-peinture,1
xanthias,Undirected,eglantine,1
xanthias,Undirected,l-imprimerie,1
xanthias,Undirected,le-roi-midas,1
xanthias,Undirected,midas,1
xanthias,Undirected,la-muse-du-theatre,1
xanthias,Undirected,carolus,2
xanthias,Undirected,la-musique,1
xanthias,Undirected,tempesta,1
xanthias,Undirected,la-fee-du-palais-de-cristal,1
aristophane,Undirected,thratta,1
aristophane,Undirected,citoyens-d-athenes,1
aristophane,Undirected,thalie,9
aristophane,Undirected,tous,2
aristophane,Undirected,realista,1
aristophane,Undirected,eglantine,1
aristophane,Undirected,tabarin,2
aristophane,Undirected,le-gamin-de-paris,1
aristophane,Undirected,l-imprimerie,1
aristophane,Undirected,le-roi-midas,1
aristophane,Undirected,midas,1
aristophane,Undirected,la-muse-du-theatre,1
aristophane,Undirected,carolus,2
aristophane,Undirected,la-musique,2
aristophane,Undirected,tempesta,2
aristophane,Undirected,la-fee-du-palais-de-cristal,1
thalie,Undirected,tous,2
thalie,Undirected,eglantine,1
thalie,Undirected,la-muse-du-theatre,1
thalie,Undirected,la-fee-du-palais-de-cristal,1
tabarin,Undirected,le-gamin-de-paris,1
l-imprimerie,Undirected,le-roi-midas,1
l-imprimerie,Undirected,midas,1
le-roi-midas,Undirected,midas,1
la-musique,Undirected,tempesta,1
