Source,Type,Target,Weight
lisette,Undirected,angelique,1
lisette,Undirected,lucile,5
lisette,Undirected,oronte,3
lisette,Undirected,arlequin,3
lisette,Undirected,pierrot,1
lisette,Undirected,octave,1
lisette,Undirected,la-bergere,1
lucile,Undirected,oronte,2
lucile,Undirected,arlequin,4
lucile,Undirected,pierrot,2
lucile,Undirected,la-bergere,1
oronte,Undirected,arlequin,1
oronte,Undirected,octave,1
oronte,Undirected,la-bergere,1
arlequin,Undirected,pierrot,2
arlequin,Undirected,la-bergere,1
pierrot,Undirected,la-bergere,1
la-bergere,Undirected,octave,1
