Source,Type,Target,Weight
trajan,Undirected,placide,1
trajan,Undirected,plotine,3
trajan,Undirected,tyrsis,1
trajan,Undirected,lysis,2
trajan,Undirected,trajane,1
trajan,Undirected,agapite,1
trajan,Undirected,teopiste,1
trajan,Undirected,arbilan,2
trajan,Undirected,le-messager,2
placide,Undirected,plotine,1
placide,Undirected,tyrsis,1
placide,Undirected,lysis,1
placide,Undirected,trajane,1
placide,Undirected,agapite,1
placide,Undirected,teopiste,1
plotine,Undirected,tyrsis,1
plotine,Undirected,lysis,1
plotine,Undirected,trajane,1
plotine,Undirected,agapite,1
plotine,Undirected,teopiste,2
plotine,Undirected,le-messager,1
plotine,Undirected,arbilan,1
tyrsis,Undirected,lysis,1
tyrsis,Undirected,teopiste,1
lysis,Undirected,le-messager,1
trajane,Undirected,agapite,2
trajane,Undirected,teopiste,2
agapite,Undirected,teopiste,7
agapite,Undirected,matelot,1
agapite,Undirected,eustache,2
agapite,Undirected,teopiste-fils,3
agapite,Undirected,amintor,1
agapite,Undirected,la-fortune,1
agapite,Undirected,la-fleur,1
agapite,Undirected,teopiste-mere,1
agapite,Undirected,ormond,2
agapite,Undirected,un-soldat,1
agapite,Undirected,arbilan,1
teopiste,Undirected,eustache,4
teopiste,Undirected,matelot,1
teopiste,Undirected,teopiste-fils,3
teopiste,Undirected,amintor,3
teopiste,Undirected,la-fortune,1
teopiste,Undirected,la-fleur,1
teopiste,Undirected,teopiste-mere,1
teopiste,Undirected,ormond,2
teopiste,Undirected,un-soldat,1
teopiste,Undirected,arbilan,1
eustache,Undirected,matelot,1
eustache,Undirected,teopiste-fils,2
eustache,Undirected,flore,1
eustache,Undirected,le-pere,1
eustache,Undirected,arbilan,2
eustache,Undirected,le-messager,1
eustache,Undirected,amintor,1
eustache,Undirected,ormond,2
matelot,Undirected,teopiste-fils,1
teopiste-fils,Undirected,teopiste-mere,1
teopiste-fils,Undirected,ormond,1
teopiste-fils,Undirected,arbilan,1
flore,Undirected,le-pere,1
arbilan,Undirected,le-messager,2
arbilan,Undirected,ormond,2
amintor,Undirected,la-fortune,1
amintor,Undirected,la-fleur,1
la-fortune,Undirected,la-fleur,1
ormond,Undirected,un-soldat,1
