Source,Type,Target,Weight
lathorilliere,Undirected,lucile,4
lathorilliere,Undirected,lulli,3
lathorilliere,Undirected,mademoiselle-de-brie,4
lathorilliere,Undirected,brecourt,4
lathorilliere,Undirected,moliere,3
lathorilliere,Undirected,baron,1
lathorilliere,Undirected,chapelle,1
lucile,Undirected,baron,3
lucile,Undirected,lulli,3
lucile,Undirected,mademoiselle-de-brie,2
lucile,Undirected,brecourt,2
lucile,Undirected,moliere,5
lucile,Undirected,boileau,1
lucile,Undirected,chapelle,1
baron,Undirected,moliere,2
lulli,Undirected,mademoiselle-de-brie,3
lulli,Undirected,brecourt,3
lulli,Undirected,moliere,2
lulli,Undirected,boileau,1
lulli,Undirected,chapelle,1
mademoiselle-de-brie,Undirected,brecourt,4
mademoiselle-de-brie,Undirected,moliere,2
mademoiselle-de-brie,Undirected,chapelle,1
brecourt,Undirected,moliere,2
brecourt,Undirected,chapelle,1
moliere,Undirected,chapelle,4
moliere,Undirected,boileau,2
chapelle,Undirected,boileau,2
