Source,Type,Target,Weight
le-jeune-homme,Undirected,la-jeune-femme,1
le-jeune-homme,Undirected,sharpey,1
le-jeune-homme,Undirected,charley,1
le-jeune-homme,Undirected,dago,1
la-jeune-femme,Undirected,sharpey,1
la-jeune-femme,Undirected,charley,1
la-jeune-femme,Undirected,dago,1
sharpey,Undirected,charley,1
sharpey,Undirected,dago,1
sharpey,Undirected,brillart,1
sharpey,Undirected,bearns,1
charley,Undirected,dago,3
charley,Undirected,lea,3
charley,Undirected,barlu,2
charley,Undirected,brillart,1
dago,Undirected,lea,2
dago,Undirected,barlu,1
dago,Undirected,brillart,1
barlu,Undirected,brillart,1
brillart,Undirected,bearns,1
