Source,Type,Target,Weight
titsa,Undirected,melech,9
titsa,Undirected,dagar,8
titsa,Undirected,ane,1
titsa,Undirected,juna,1
titsa,Undirected,les-jeunes-filles,1
titsa,Undirected,schem,5
titsa,Undirected,loth,5
titsa,Undirected,le-choeur,1
titsa,Undirected,ensemble,1
titsa,Undirected,le-gomorrheen,1
titsa,Undirected,raab,1
melech,Undirected,dagar,10
melech,Undirected,les-jeunes-filles,3
melech,Undirected,juna,4
melech,Undirected,ane,4
melech,Undirected,le-choeur,3
melech,Undirected,loth,6
melech,Undirected,schem,5
melech,Undirected,raab,5
melech,Undirected,ensemble,2
melech,Undirected,tous,1
melech,Undirected,le-gomorrheen,1
dagar,Undirected,les-jeunes-filles,3
dagar,Undirected,juna,4
dagar,Undirected,ane,4
dagar,Undirected,schem,5
dagar,Undirected,loth,7
dagar,Undirected,le-choeur,3
dagar,Undirected,raab,3
dagar,Undirected,ensemble,2
dagar,Undirected,tous,1
les-jeunes-filles,Undirected,juna,3
les-jeunes-filles,Undirected,ane,3
les-jeunes-filles,Undirected,loth,1
les-jeunes-filles,Undirected,ensemble,1
les-jeunes-filles,Undirected,tous,1
les-jeunes-filles,Undirected,le-choeur,1
les-jeunes-filles,Undirected,raab,1
juna,Undirected,ane,6
juna,Undirected,loth,3
juna,Undirected,raab,4
juna,Undirected,ensemble,1
juna,Undirected,tous,1
juna,Undirected,le-choeur,1
ane,Undirected,loth,3
ane,Undirected,raab,4
ane,Undirected,ensemble,1
ane,Undirected,tous,1
ane,Undirected,le-choeur,1
schem,Undirected,loth,3
schem,Undirected,le-choeur,2
schem,Undirected,ensemble,1
schem,Undirected,le-gomorrheen,1
schem,Undirected,raab,2
loth,Undirected,le-choeur,2
loth,Undirected,raab,4
loth,Undirected,ensemble,2
loth,Undirected,tous,1
le-choeur,Undirected,ensemble,1
le-choeur,Undirected,tous,1
le-choeur,Undirected,raab,2
raab,Undirected,ensemble,1
raab,Undirected,tous,1
raab,Undirected,le-gomorrheen,1
ensemble,Undirected,tous,1
