Source,Type,Target,Weight
argentine,Undirected,arlequin,6
argentine,Undirected,pierrot,3
argentine,Undirected,leandre,3
argentine,Undirected,mezzetin,3
argentine,Undirected,le-docteur,1
argentine,Undirected,la-chanteuse,1
argentine,Undirected,scaramouche,1
argentine,Undirected,octave,1
argentine,Undirected,spinette,1
arlequin,Undirected,pierrot,3
arlequin,Undirected,octave,2
arlequin,Undirected,leandre,5
arlequin,Undirected,le-docteur,5
arlequin,Undirected,mezzetin,2
arlequin,Undirected,la-chanteuse,1
arlequin,Undirected,scaramouche,1
arlequin,Undirected,spinette,1
pierrot,Undirected,scaramouche,2
pierrot,Undirected,le-docteur,2
pierrot,Undirected,la-chanteuse,1
pierrot,Undirected,leandre,1
pierrot,Undirected,octave,1
pierrot,Undirected,spinette,1
pierrot,Undirected,mezzetin,1
octave,Undirected,leandre,4
octave,Undirected,scaramouche,6
octave,Undirected,spinette,3
octave,Undirected,le-docteur,1
octave,Undirected,la-chanteuse,1
octave,Undirected,mezzetin,1
leandre,Undirected,mezzetin,2
leandre,Undirected,le-docteur,1
leandre,Undirected,la-chanteuse,1
leandre,Undirected,scaramouche,1
leandre,Undirected,spinette,1
scaramouche,Undirected,spinette,3
scaramouche,Undirected,la-chanteuse,2
scaramouche,Undirected,le-docteur,1
scaramouche,Undirected,mezzetin,1
spinette,Undirected,le-docteur,3
spinette,Undirected,la-chanteuse,1
spinette,Undirected,mezzetin,1
le-docteur,Undirected,la-chanteuse,1
le-docteur,Undirected,mezzetin,1
la-chanteuse,Undirected,mezzetin,1
