Source,Type,Target,Weight
acmet,Undirected,arlequin,2
acmet,Undirected,pantalon,2
acmet,Undirected,le-docteur,2
acmet,Undirected,scaramouche,2
acmet,Undirected,le-roi,1
acmet,Undirected,mezettin,1
arlequin,Undirected,pantalon,2
arlequin,Undirected,le-docteur,2
arlequin,Undirected,scaramouche,2
arlequin,Undirected,le-roi,1
arlequin,Undirected,mezettin,1
pantalon,Undirected,le-docteur,2
pantalon,Undirected,scaramouche,2
pantalon,Undirected,le-roi,1
pantalon,Undirected,mezettin,1
le-docteur,Undirected,scaramouche,2
le-docteur,Undirected,le-roi,1
le-docteur,Undirected,mezettin,1
scaramouche,Undirected,le-roi,1
scaramouche,Undirected,mezettin,1
le-roi,Undirected,mezettin,1
