Source,Type,Target,Weight
venus,Undirected,le-choeur,3
venus,Undirected,scaramouche,1
venus,Undirected,pierrot,2
venus,Undirected,arlequin,2
venus,Undirected,une-des-graces,1
venus,Undirected,colombine,1
venus,Undirected,le-docteur,1
le-choeur,Undirected,pierrot,3
le-choeur,Undirected,marinette,1
le-choeur,Undirected,arlequin,3
le-choeur,Undirected,le-docteur,2
le-choeur,Undirected,les-chanteuses,1
le-choeur,Undirected,premiere-chanteuse,1
le-choeur,Undirected,colombine,1
scaramouche,Undirected,pierrot,1
scaramouche,Undirected,arlequin,2
scaramouche,Undirected,le-docteur,1
scaramouche,Undirected,la-chanteuse,1
scaramouche,Undirected,colombine,1
pierrot,Undirected,arlequin,4
pierrot,Undirected,une-des-graces,1
pierrot,Undirected,marinette,2
pierrot,Undirected,le-docteur,1
pierrot,Undirected,colombine,1
pierrot,Undirected,les-chanteuses,1
pierrot,Undirected,premiere-chanteuse,1
arlequin,Undirected,une-des-graces,1
arlequin,Undirected,le-docteur,4
arlequin,Undirected,colombine,6
arlequin,Undirected,marinette,2
arlequin,Undirected,les-chanteuses,1
arlequin,Undirected,premiere-chanteuse,1
arlequin,Undirected,la-chanteuse,1
le-docteur,Undirected,colombine,2
le-docteur,Undirected,marinette,1
colombine,Undirected,marinette,1
colombine,Undirected,la-chanteuse,1
les-chanteuses,Undirected,premiere-chanteuse,1
