Source,Type,Target,Weight
lincoln,Undirected,macdal,3
lincoln,Undirected,washington,7
lincoln,Undirected,laurens,5
lincoln,Undirected,soldats,1
lincoln,Undirected,le-secretaire,1
lincoln,Undirected,le-depute,1
macdal,Undirected,laurens,2
macdal,Undirected,washington,2
macdal,Undirected,soldats,1
washington,Undirected,l-aide-de-camp,1
washington,Undirected,johnson,1
washington,Undirected,laurens,7
washington,Undirected,soldats,1
washington,Undirected,lismor,1
washington,Undirected,l-ambassadeur,1
johnson,Undirected,madame-nelson,1
johnson,Undirected,lismor,2
johnson,Undirected,laurens,1
johnson,Undirected,le-peuple,1
johnson,Undirected,les-senateurs,1
laurens,Undirected,soldats,1
laurens,Undirected,lismor,3
laurens,Undirected,le-secretaire,3
laurens,Undirected,l-orateur,2
laurens,Undirected,le-peuple,1
laurens,Undirected,les-senateurs,1
laurens,Undirected,madame-nelson,1
laurens,Undirected,l-ambassadeur,1
lismor,Undirected,madame-nelson,3
lismor,Undirected,madame-laurens,1
lismor,Undirected,l-orateur,1
lismor,Undirected,le-secretaire,1
lismor,Undirected,le-peuple,1
lismor,Undirected,les-senateurs,1
madame-nelson,Undirected,madame-laurens,2
madame-nelson,Undirected,l-orateur,1
madame-nelson,Undirected,le-secretaire,1
le-secretaire,Undirected,l-orateur,2
le-secretaire,Undirected,le-depute,1
le-peuple,Undirected,les-senateurs,1
