Source,Type,Target,Weight
dassoucy,Undirected,pierrotin,5
dassoucy,Undirected,la-marquise,3
dassoucy,Undirected,la-presidente,3
dassoucy,Undirected,le-docteur,3
dassoucy,Undirected,le-baron,3
dassoucy,Undirected,moliere,4
pierrotin,Undirected,la-marquise,3
pierrotin,Undirected,la-presidente,3
pierrotin,Undirected,le-docteur,3
pierrotin,Undirected,le-baron,3
pierrotin,Undirected,moliere,4
la-marquise,Undirected,la-presidente,4
la-marquise,Undirected,le-docteur,2
la-marquise,Undirected,le-baron,4
la-marquise,Undirected,moliere,6
la-presidente,Undirected,le-docteur,2
la-presidente,Undirected,le-baron,4
la-presidente,Undirected,moliere,4
le-docteur,Undirected,le-baron,2
le-docteur,Undirected,moliere,3
le-baron,Undirected,moliere,4
