Source,Type,Target,Weight
gely,Undirected,moliere,6
gely,Undirected,claudine,6
gely,Undirected,roustecagnac,4
gely,Undirected,le-garçon,1
gely,Undirected,premier-client,1
gely,Undirected,deuxieme-client,1
gely,Undirected,troisieme-client,1
gely,Undirected,le-messager,1
moliere,Undirected,claudine,5
moliere,Undirected,le-messager,2
moliere,Undirected,roustecagnac,3
moliere,Undirected,le-garçon,1
claudine,Undirected,roustecagnac,4
claudine,Undirected,le-garçon,1
claudine,Undirected,premier-client,1
claudine,Undirected,deuxieme-client,1
claudine,Undirected,troisieme-client,1
claudine,Undirected,le-messager,1
le-messager,Undirected,roustecagnac,1
roustecagnac,Undirected,le-garçon,1
roustecagnac,Undirected,premier-client,1
roustecagnac,Undirected,deuxieme-client,1
roustecagnac,Undirected,troisieme-client,1
premier-client,Undirected,deuxieme-client,1
premier-client,Undirected,troisieme-client,1
deuxieme-client,Undirected,troisieme-client,1
