Source,Type,Target,Weight
azema,Undirected,fatime,2
azema,Undirected,l-etheree,2
azema,Undirected,la-princesse,1
azema,Undirected,arlequin,2
azema,Undirected,durphegor,1
fatime,Undirected,arlequin,3
fatime,Undirected,l-etheree,2
fatime,Undirected,le-maitre-d-hotel,1
fatime,Undirected,le-senateur,1
fatime,Undirected,le-medecin,1
fatime,Undirected,la-princesse,1
arlequin,Undirected,l-etheree,7
arlequin,Undirected,durphegor,4
arlequin,Undirected,le-maitre-d-hotel,3
arlequin,Undirected,le-senateur,1
arlequin,Undirected,le-medecin,1
arlequin,Undirected,le-garçon-d-office,1
arlequin,Undirected,l-echanson,1
arlequin,Undirected,arelquin,1
arlequin,Undirected,le-valet-de-chambre,2
arlequin,Undirected,le-secretaire,3
arlequin,Undirected,le-paysan,1
arlequin,Undirected,un-danseur,1
arlequin,Undirected,le-financier,1
arlequin,Undirected,la-bergere,1
arlequin,Undirected,la-princesse,1
l-etheree,Undirected,le-maitre-d-hotel,1
l-etheree,Undirected,le-senateur,1
l-etheree,Undirected,le-medecin,1
l-etheree,Undirected,durphegor,2
l-etheree,Undirected,la-princesse,1
le-maitre-d-hotel,Undirected,le-senateur,1
le-maitre-d-hotel,Undirected,le-medecin,1
le-maitre-d-hotel,Undirected,le-garçon-d-office,1
le-maitre-d-hotel,Undirected,l-echanson,1
le-maitre-d-hotel,Undirected,arelquin,1
le-maitre-d-hotel,Undirected,le-paysan,1
le-maitre-d-hotel,Undirected,un-danseur,1
le-maitre-d-hotel,Undirected,le-financier,1
le-maitre-d-hotel,Undirected,le-secretaire,1
le-maitre-d-hotel,Undirected,la-bergere,1
le-senateur,Undirected,le-medecin,1
le-garçon-d-office,Undirected,l-echanson,1
le-garçon-d-office,Undirected,arelquin,1
l-echanson,Undirected,arelquin,1
le-valet-de-chambre,Undirected,le-secretaire,1
le-secretaire,Undirected,le-paysan,1
le-secretaire,Undirected,un-danseur,1
le-secretaire,Undirected,le-financier,1
le-secretaire,Undirected,la-bergere,1
le-paysan,Undirected,un-danseur,1
le-paysan,Undirected,le-financier,1
le-paysan,Undirected,la-bergere,1
un-danseur,Undirected,le-financier,1
un-danseur,Undirected,la-bergere,1
le-financier,Undirected,la-bergere,1
