Source,Type,Target,Weight
hydaspe,Undirected,phalante,3
hydaspe,Undirected,claridan,1
hydaspe,Undirected,menandre,1
phalante,Undirected,claridan,1
phalante,Undirected,iolas,5
phalante,Undirected,berenice,4
phalante,Undirected,liliane,4
phalante,Undirected,iolante,2
phalante,Undirected,carinte,2
phalante,Undirected,le-capitaine-des-gardes,1
phalante,Undirected,menandre,1
phalante,Undirected,iarbe,2
berenice,Undirected,aronte,2
berenice,Undirected,le-page,2
berenice,Undirected,iolas,6
berenice,Undirected,le-chirurgien,1
berenice,Undirected,le-medecin,1
berenice,Undirected,iolante,2
berenice,Undirected,carinte,2
berenice,Undirected,liliane,3
berenice,Undirected,iarbe,1
aronte,Undirected,le-page,2
aronte,Undirected,iolante,1
aronte,Undirected,liliane,3
aronte,Undirected,carinte,2
aronte,Undirected,iolas,1
le-page,Undirected,iolas,1
le-page,Undirected,liliane,1
le-page,Undirected,carinte,1
iolas,Undirected,cleonte,1
iolas,Undirected,le-chirurgien,1
iolas,Undirected,le-medecin,1
iolas,Undirected,iolante,2
iolas,Undirected,liliane,3
iolas,Undirected,le-capitaine-des-gardes,1
iolas,Undirected,carinte,2
iolas,Undirected,iarbe,1
iolante,Undirected,liliane,4
iolante,Undirected,iarbe,3
iolante,Undirected,menandre,1
iolante,Undirected,almedor,1
liliane,Undirected,carinte,7
liliane,Undirected,le-capitaine-des-gardes,1
liliane,Undirected,iarbe,1
le-chirurgien,Undirected,le-medecin,1
carinte,Undirected,le-capitaine-des-gardes,1
iarbe,Undirected,menandre,2
iarbe,Undirected,almedor,1
